   350  648.70    3.802    6.10   64.0    1.5030    0.0232    2.97 9000.00 9000.00   33.95    0.4500 9000.00000 9000.00000 9000.000
   360  643.65    3.866    6.00   60.0    1.3908    0.0216    3.06 9000.00 9000.00   34.05    0.4200 9000.00000 9000.00000 9000.000
   370  638.80    3.928    6.00   56.0    1.3532    0.0212    3.14 9000.00 9000.00   34.06    0.4100 9000.00000 9000.00000 9000.000
   380  634.00    3.989    5.90   56.0    1.2780    0.0202    3.22 9000.00 9000.00   34.06    0.3900 9000.00000 9000.00000 9000.000
   390  629.49    4.048    5.50   54.0    1.2780    0.0203    3.29 9000.00 9000.00   34.06    0.3900 9000.00000 9000.00000 9000.000
   400  624.60    4.112    5.20   55.0    1.2408    0.0199    3.37 9000.00 9000.00   34.16    0.3800 9000.00000 9000.00000 9000.000
   410  620.14    4.170    5.10   54.0    1.2409    0.0200    3.44 9000.00 9000.00   34.17    0.3800 9000.00000 9000.00000 9000.000
   420  616.01    4.225    5.00   45.0    1.2784    0.0208    3.51 9000.00 9000.00   34.17    0.3900 9000.00000 9000.00000 9000.000
   430  611.47    4.285    4.80   48.0    1.3161    0.0215    3.58 9000.00 9000.00   34.17    0.4000 9000.00000 9000.00000 9000.000
   440  606.75    4.348    4.80   31.0    1.3912    0.0229    3.67 9000.00 9000.00   34.17    0.4200 9000.00000 9000.00000 9000.000
   450  602.36    4.407    4.50   40.0    1.4290    0.0237    3.75 9000.00 9000.00   34.18    0.4300 9000.00000 9000.00000 9000.000
   460  597.91    4.468    4.10   41.0    1.4670    0.0245    3.83 9000.00 9000.00   34.28    0.4400 9000.00000 9000.00000 9000.000
   470  593.29    4.531    3.70   49.0    1.4293    0.0241    3.92 9000.00 9000.00   34.28    0.4300 9000.00000 9000.00000 9000.000
   480  588.60    4.595    3.30   49.0    1.3542    0.0230    4.01 9000.00 9000.00   34.28    0.4100 9000.00000 9000.00000 9000.000
   490  584.03    4.658    3.00   49.0    1.2790    0.0219    4.09 9000.00 9000.00   34.29    0.3900 9000.00000 9000.00000 9000.000
   500  579.39    4.723    2.50   50.0    1.2414    0.0214    4.17 9000.00 9000.00   34.29    0.3800 9000.00000 9000.00000 9000.000
   510  575.35    4.780    2.20   48.0    1.2414    0.0216    4.24 9000.00 9000.00   34.29    0.3800 9000.00000 9000.00000 9000.000
   520  571.04    4.840    1.90   43.0    1.2414    0.0217    4.31 9000.00 9000.00   34.29    0.3800 9000.00000 9000.00000 9000.000
   530  566.74    4.901    1.60   40.0    1.2414    0.0219    4.38 9000.00 9000.00   34.30    0.3800 9000.00000 9000.00000 9000.000
   540  562.58    4.960    1.30   35.0    1.3166    0.0234    4.46 9000.00 9000.00   34.30    0.4000 9000.00000 9000.00000 9000.000
   550  558.15    5.024    0.90   34.0    1.3170    0.0236    4.54 9000.00 9000.00   34.40    0.4000 9000.00000 9000.00000 9000.000
   560  554.02    5.084    0.50   40.0    1.3548    0.0245    4.62 9000.00 9000.00   34.41    0.4100 9000.00000 9000.00000 9000.000
   570  550.02    5.142    0.10   46.0    1.3171    0.0239    4.70 9000.00 9000.00   34.41    0.4000 9000.00000 9000.00000 9000.000
   580  545.76    5.204   -0.30   41.0    1.3548    0.0248    4.78 9000.00 9000.00   34.41    0.4100 9000.00000 9000.00000 9000.000
   590  541.60    5.265   -0.70   34.0    1.3171    0.0243    4.86 9000.00 9000.00   34.41    0.4000 9000.00000 9000.00000 9000.000
   600  537.49    5.326   -0.90   26.0    1.4300    0.0266    4.94 9000.00 9000.00   34.42    0.4300 9000.00000 9000.00000 9000.000
   610  533.21    5.390   -1.50   25.0    1.5053    0.0282    5.03 9000.00 9000.00   34.42    0.4500 9000.00000 9000.00000 9000.000
   620  529.03    5.452   -2.00   24.0    1.6182    0.0306    5.13 9000.00 9000.00   34.42    0.4800 9000.00000 9000.00000 9000.000
   630  525.17    5.510   -2.60   24.0    1.6558    0.0315    5.23 9000.00 9000.00   34.42    0.4900 9000.00000 9000.00000 9000.000
   640  521.11    5.572   -3.10   24.0    1.7312    0.0332    5.33 9000.00 9000.00   34.43    0.5100 9000.00000 9000.00000 9000.000
   650  516.98    5.635   -3.50   25.0    1.8064    0.0349    5.44 9000.00 9000.00   34.43    0.5300 9000.00000 9000.00000 9000.000
   660  512.64    5.701   -4.00   31.0    1.8070    0.0352    5.56 9000.00 9000.00   34.53    0.5300 9000.00000 9000.00000 9000.000
   670  508.30    5.768   -4.50   33.0    1.7694    0.0348    5.68 9000.00 9000.00   34.54    0.5200 9000.00000 9000.00000 9000.000
   680  504.49    5.827   -4.90   32.0    1.7317    0.0343    5.78 9000.00 9000.00   34.54    0.5100 9000.00000 9000.00000 9000.000
   690  500.34    5.892   -5.30   28.0    1.6188    0.0324    5.89 9000.00 9000.00   34.54    0.4800 9000.00000 9000.00000 9000.000
   700  496.49    5.953   -5.70   27.0    1.5812    0.0318    5.99 9000.00 9000.00   34.54    0.4700 9000.00000 9000.00000 9000.000
   710  492.86    6.010   -6.00   24.0    1.5436    0.0313    6.08 9000.00 9000.00   34.55    0.4600 9000.00000 9000.00000 9000.000
   720  489.02    6.071   -6.50   23.0    1.4683    0.0300    6.18 9000.00 9000.00   34.55    0.4400 9000.00000 9000.00000 9000.000
   730  484.69    6.141   -6.90   16.0    1.4683    0.0303    6.28 9000.00 9000.00   34.55    0.4400 9000.00000 9000.00000 9000.000
   740  480.94    6.201   -7.30   21.0    1.3926    0.0290    6.37 9000.00 9000.00   34.45    0.4200 9000.00000 9000.00000 9000.000
   750  477.38    6.259   -7.70   34.0    1.3926    0.0292    6.45 9000.00 9000.00   34.46    0.4200 9000.00000 9000.00000 9000.000
   760  473.74    6.319   -8.10   32.0    1.3549    0.0286    6.53 9000.00 9000.00   34.46    0.4100 9000.00000 9000.00000 9000.000
   770  470.20    6.377   -8.50   35.0    1.2797    0.0272    6.61 9000.00 9000.00   34.46    0.3900 9000.00000 9000.00000 9000.000
   780  466.53    6.438   -8.80   40.0    1.1668    0.0250    6.68 9000.00 9000.00   34.46    0.3600 9000.00000 9000.00000 9000.000
   790  462.91    6.498   -9.20   50.0    1.2044    0.0260    6.76 9000.00 9000.00   34.47    0.3700 9000.00000 9000.00000 9000.000
   800  459.36    6.557   -9.70   51.0    1.1668    0.0254    6.83 9000.00 9000.00   34.47    0.3600 9000.00000 9000.00000 9000.000
   810  455.91    6.616  -10.00   47.0    1.1668    0.0256    6.90 9000.00 9000.00   34.47    0.3600 9000.00000 9000.00000 9000.000
   820  452.87    6.667  -10.20   40.0    1.1669    0.0258    6.96 9000.00 9000.00   34.48    0.3600 9000.00000 9000.00000 9000.000
   830  449.65    6.722  -10.60   34.0    1.1669    0.0260    7.03 9000.00 9000.00   34.48    0.3600 9000.00000 9000.00000 9000.000
   840  446.43    6.777  -11.00   38.0    1.1669    0.0261    7.09 9000.00 9000.00   34.48    0.3600 9000.00000 9000.00000 9000.000
   850  443.25    6.832  -11.50   35.0    1.1292    0.0255    7.16 9000.00 9000.00   34.48    0.3500 9000.00000 9000.00000 9000.000
   860  440.43    6.881  -11.90   36.0    1.1292    0.0256    7.21 9000.00 9000.00   34.48    0.3500 9000.00000 9000.00000 9000.000
   870  437.04    6.940  -12.40   40.0    1.0912    0.0250    7.28 9000.00 9000.00   34.39    0.3400 9000.00000 9000.00000 9000.000
   880  433.83    6.996  -12.80   42.0    1.1289    0.0260    7.35 9000.00 9000.00   34.39    0.3500 9000.00000 9000.00000 9000.000
   890  430.85    7.049  -13.20   45.0    1.1289    0.0262    7.41 9000.00 9000.00   34.39    0.3500 9000.00000 9000.00000 9000.000
   900  427.60    7.107  -13.50   47.0    1.1665    0.0273    7.48 9000.00 9000.00   34.40    0.3600 9000.00000 9000.00000 9000.000
   910  424.31    7.165  -13.80   46.0    1.2041    0.0284    7.55 9000.00 9000.00   34.40    0.3700 9000.00000 9000.00000 9000.000
   920  421.51    7.216  -14.00   43.0    1.1665    0.0277    7.61 9000.00 9000.00   34.40    0.3600 9000.00000 9000.00000 9000.000
   930  418.62    7.268  -13.80   38.0    1.2418    0.0297    7.68 9000.00 9000.00   34.40    0.3800 9000.00000 9000.00000 9000.000
   940  415.70    7.321  -14.00   30.0    1.2794    0.0308    7.75 9000.00 9000.00   34.40    0.3900 9000.00000 9000.00000 9000.000
   950  412.98    7.371  -14.20   28.0    1.3166    0.0319    7.81 9000.00 9000.00   34.31    0.4000 9000.00000 9000.00000 9000.000
   960  409.92    7.427  -14.40   27.0    1.3919    0.0340    7.89 9000.00 9000.00   34.31    0.4200 9000.00000 9000.00000 9000.000
   970  406.67    7.488  -14.80   27.0    1.3919    0.0342    7.98 9000.00 9000.00   34.31    0.4200 9000.00000 9000.00000 9000.000
   980  403.27    7.551  -15.00   25.0    1.3919    0.0345    8.07 9000.00 9000.00   34.32    0.4200 9000.00000 9000.00000 9000.000
   990  400.07    7.611  -15.40   31.0    1.3544    0.0339    8.16 9000.00 9000.00   34.32    0.4100 9000.00000 9000.00000 9000.000
  1000  397.22    7.665  -15.60   30.0    1.2791    0.0322    8.23 9000.00 9000.00   34.32    0.3900 9000.00000 9000.00000 9000.000
  1010  394.13    7.724  -15.60   26.0    1.3919    0.0353    8.32 9000.00 9000.00   34.32    0.4200 9000.00000 9000.00000 9000.000
  1020  391.28    7.779  -15.60   19.0    1.5049    0.0385    8.40 9000.00 9000.00   34.33    0.4500 9000.00000 9000.00000 9000.000
  1030  388.35    7.835  -15.60   18.0    1.5425    0.0397    8.49 9000.00 9000.00   34.33    0.4600 9000.00000 9000.00000 9000.000
  1040  385.23    7.896  -16.00   20.0    1.4673    0.0381    8.59 9000.00 9000.00   34.33    0.4400 9000.00000 9000.00000 9000.000
  1050  382.29    7.954  -16.50   21.0    1.3539    0.0354    8.67 9000.00 9000.00   34.23    0.4100 9000.00000 9000.00000 9000.000
  1060  379.39    8.011  -17.10   21.0 9000.0000 9000.0000    8.67 9000.00 9000.00 9000.00    0.3800 9000.00000 9000.00000 9000.000
  1070  376.29    8.072  -17.60   21.0    1.1659    0.0310    8.67 9000.00 9000.00   34.24    0.3600 9000.00000 9000.00000 9000.000
  1080  373.10    8.136  -18.00   21.0    1.1283    0.0302    8.75 9000.00 9000.00   34.24    0.3500 9000.00000 9000.00000 9000.000
  1090  370.50    8.188  -18.50   20.0    1.0531    0.0284    8.81 9000.00 9000.00   34.24    0.3300 9000.00000 9000.00000 9000.000
  1100  367.54    8.248  -18.80   19.0    0.9776    0.0266    8.87 9000.00 9000.00   34.15    0.3100 9000.00000 9000.00000 9000.000
  1110  364.55    8.309  -19.30   19.0    0.9400    0.0258    8.93 9000.00 9000.00   34.15    0.3000 9000.00000 9000.00000 9000.000
  1120  361.79    8.365  -19.70   19.0    0.9400    0.0260    8.99 9000.00 9000.00   34.15    0.3000 9000.00000 9000.00000 9000.000
  1130  358.84    8.426  -20.20   18.0    0.9400    0.0262    9.05 9000.00 9000.00   34.16    0.3000 9000.00000 9000.00000 9000.000
  1140  355.93    8.486  -20.60   16.0    0.9024    0.0254    9.11 9000.00 9000.00   34.16    0.2900 9000.00000 9000.00000 9000.000
  1150  353.33    8.540  -21.00   21.0    0.9400    0.0266    9.16 9000.00 9000.00   34.16    0.3000 9000.00000 9000.00000 9000.000
  1160  350.49    8.600  -21.40   21.0    0.9777    0.0279    9.22 9000.00 9000.00   34.16    0.3100 9000.00000 9000.00000 9000.000
  1170  347.53    8.662  -21.80   22.0    0.9774    0.0281    9.29 9000.00 9000.00   34.07    0.3100 9000.00000 9000.00000 9000.000
  1180  344.40    8.729  -22.30   23.0    0.9397    0.0273    9.36 9000.00 9000.00   34.07    0.3000 9000.00000 9000.00000 9000.000
  1190  341.48    8.791  -22.80   20.0    0.9397    0.0275    9.42 9000.00 9000.00   34.07    0.3000 9000.00000 9000.00000 9000.000
  1200  338.91    8.847  -23.30   21.0    0.9397    0.0277    9.48 9000.00 9000.00   34.08    0.3000 9000.00000 9000.00000 9000.000
  1210  336.32    8.903  -23.90   22.0    0.9397    0.0279    9.53 9000.00 9000.00   34.08    0.3000 9000.00000 9000.00000 9000.000
  1220  333.41    8.966  -24.30   22.0    0.9774    0.0293    9.60 9000.00 9000.00   34.08    0.3100 9000.00000 9000.00000 9000.000
  1230  330.54    9.029  -24.80   22.0    0.9397    0.0284    9.67 9000.00 9000.00   34.08    0.3000 9000.00000 9000.00000 9000.000
  1240  327.94    9.086  -25.40   23.0    0.9771    0.0298    9.73 9000.00 9000.00   33.99    0.3100 9000.00000 9000.00000 9000.000
  1250  325.31    9.145  -25.80   23.0    0.9771    0.0300    9.79 9000.00 9000.00   33.99    0.3100 9000.00000 9000.00000 9000.000
  1260  322.63    9.205  -26.20   18.0    1.0146    0.0314    9.85 9000.00 9000.00   33.99    0.3200 9000.00000 9000.00000 9000.000
  1270  320.01    9.264  -26.60   16.0    0.9771    0.0305    9.92 9000.00 9000.00   34.00    0.3100 9000.00000 9000.00000 9000.000
  1280  317.38    9.323  -27.10   16.0    0.9771    0.0308    9.98 9000.00 9000.00   34.00    0.3100 9000.00000 9000.00000 9000.000
  1290  314.70    9.384  -27.60   16.0    0.9771    0.0310   10.05 9000.00 9000.00   34.00    0.3100 9000.00000 9000.00000 9000.000
  1300  312.29    9.439  -28.10   15.0    1.0143    0.0325   10.11 9000.00 9000.00   33.90    0.3200 9000.00000 9000.00000 9000.000
  1310  309.71    9.499  -28.40   12.0    1.0144    0.0328   10.17 9000.00 9000.00   33.91    0.3200 9000.00000 9000.00000 9000.000
  1320  306.98    9.562  -28.70   11.0    1.0144    0.0330   10.24 9000.00 9000.00   33.91    0.3200 9000.00000 9000.00000 9000.000
  1330  304.56    9.619  -29.10   18.0    1.0144    0.0333   10.31 9000.00 9000.00   33.91    0.3200 9000.00000 9000.00000 9000.000
  1340  301.93    9.681  -29.60   20.0    1.0896    0.0361   10.38 9000.00 9000.00   33.92    0.3400 9000.00000 9000.00000 9000.000
  1350  299.53    9.737  -30.10   24.0    1.1670    0.0390   10.45 9000.00 9000.00   33.82    0.3600 9000.00000 9000.00000 9000.000
  1360  297.12    9.795  -30.50   24.0    1.2047    0.0405   10.53 9000.00 9000.00   33.82    0.3700 9000.00000 9000.00000 9000.000
  1370  294.33    9.862  -31.20   25.0    1.3177    0.0448   10.62 9000.00 9000.00   33.82    0.4000 9000.00000 9000.00000 9000.000
  1380  291.71    9.925  -31.70   28.0    1.3174    0.0452   10.71 9000.00 9000.00   33.73    0.4000 9000.00000 9000.00000 9000.000
  1390  289.11    9.988  -32.10   24.0    1.2799    0.0443   10.81 9000.00 9000.00   33.73    0.3900 9000.00000 9000.00000 9000.000
  1400  286.50   10.052  -32.50   19.0    1.3552    0.0473   10.90 9000.00 9000.00   33.73    0.4100 9000.00000 9000.00000 9000.000
  1410  284.19   10.109  -33.10   19.0    1.3930    0.0490   10.99 9000.00 9000.00   33.74    0.4200 9000.00000 9000.00000 9000.000
  1420  281.70   10.171  -33.60   18.0    1.4307    0.0508   11.09 9000.00 9000.00   33.74    0.4300 9000.00000 9000.00000 9000.000
  1430  279.08   10.236  -33.90   15.0    1.3550    0.0486   11.19 9000.00 9000.00   33.64    0.4100 9000.00000 9000.00000 9000.000
  1440  276.82   10.293  -34.20   15.0    1.3551    0.0490   11.28 9000.00 9000.00   33.65    0.4100 9000.00000 9000.00000 9000.000
  1450  274.29   10.358  -34.50   13.0    1.3176    0.0480   11.37 9000.00 9000.00   33.65    0.4000 9000.00000 9000.00000 9000.000
  1460  271.51   10.429  -34.80   10.0    1.2800    0.0471   11.48 9000.00 9000.00   33.65    0.3900 9000.00000 9000.00000 9000.000
  1470  268.94   10.495  -35.30    8.0    1.3173    0.0490   11.57 9000.00 9000.00   33.56    0.4000 9000.00000 9000.00000 9000.000
  1480  266.08   10.569  -36.00    7.0    1.2798    0.0481   11.68 9000.00 9000.00   33.56    0.3900 9000.00000 9000.00000 9000.000
  1490  263.58   10.635  -36.60    7.0    1.3551    0.0514   11.78 9000.00 9000.00   33.56    0.4100 9000.00000 9000.00000 9000.000
  1500  261.39   10.692  -37.10    7.0    1.5059    0.0576   11.88 9000.00 9000.00   33.57    0.4500 9000.00000 9000.00000 9000.000
  1510  258.85   10.760  -37.80    7.0    1.4677    0.0567   11.99 9000.00 9000.00   33.47    0.4400 9000.00000 9000.00000 9000.000
  1520  256.53   10.822  -38.20    7.0    1.3926    0.0543   12.09 9000.00 9000.00   33.47    0.4200 9000.00000 9000.00000 9000.000
  1530  254.32   10.881  -38.60   11.0    1.3174    0.0518   12.18 9000.00 9000.00   33.48    0.4000 9000.00000 9000.00000 9000.000
  1540  251.85   10.948  -39.00   15.0    1.3175    0.0523   12.29 9000.00 9000.00   33.48    0.4000 9000.00000 9000.00000 9000.000
  1550  249.38   11.016  -39.70   18.0    1.2419    0.0498   12.39 9000.00 9000.00   33.38    0.3800 9000.00000 9000.00000 9000.000
  1560  247.26   11.074  -40.30   19.0    1.2043    0.0487   12.47 9000.00 9000.00   33.39    0.3700 9000.00000 9000.00000 9000.000
  1570  244.75   11.143  -41.00   21.0    1.2044    0.0492   12.57 9000.00 9000.00   33.39    0.3700 9000.00000 9000.00000 9000.000
  1580  242.26   11.213  -41.60   22.0    1.0916    0.0451   12.66 9000.00 9000.00   33.39    0.3400 9000.00000 9000.00000 9000.000
  1590  240.07   11.274  -42.30   23.0    1.1290    0.0470   12.74 9000.00 9000.00   33.30    0.3500 9000.00000 9000.00000 9000.000
  1600  237.73   11.340  -42.90   24.0    1.0914    0.0459   12.82 9000.00 9000.00   33.30    0.3400 9000.00000 9000.00000 9000.000
  1610  235.33   11.409  -43.60   25.0    1.1288    0.0480   12.91 9000.00 9000.00   33.20    0.3500 9000.00000 9000.00000 9000.000
  1620  232.99   11.476  -44.20   26.0    1.0912    0.0468   13.00 9000.00 9000.00   33.21    0.3400 9000.00000 9000.00000 9000.000
  1630  230.51   11.547  -44.70   27.0    1.1290    0.0490   13.09 9000.00 9000.00   33.21    0.3500 9000.00000 9000.00000 9000.000
  1640  228.23   11.614  -45.40   27.0    1.0910    0.0478   13.18 9000.00 9000.00   33.11    0.3400 9000.00000 9000.00000 9000.000
  1650  226.06   11.677  -45.90   27.0    1.0535    0.0466   13.26 9000.00 9000.00   33.12    0.3300 9000.00000 9000.00000 9000.000
  1660  223.58   11.751  -46.40   26.0    1.0908    0.0488   13.36 9000.00 9000.00   33.02    0.3400 9000.00000 9000.00000 9000.000
  1670  221.26   11.820  -47.00   25.0    1.0533    0.0476   13.44 9000.00 9000.00   33.02    0.3300 9000.00000 9000.00000 9000.000
  1680  218.63   11.899  -47.50   23.0    1.0534    0.0482   13.54 9000.00 9000.00   33.03    0.3300 9000.00000 9000.00000 9000.000
  1690  215.76   11.986  -48.10   21.0    1.0531    0.0488   13.65 9000.00 9000.00   32.93    0.3300 9000.00000 9000.00000 9000.000
  1700  213.07   12.068  -48.90   20.0    1.0533    0.0494   13.76 9000.00 9000.00   32.94    0.3300 9000.00000 9000.00000 9000.000
  1710  211.11   12.129  -49.40   19.0    1.0530    0.0499   13.83 9000.00 9000.00   32.84    0.3300 9000.00000 9000.00000 9000.000
  1720  209.24   12.187  -49.90   17.0    1.0907    0.0521   13.91 9000.00 9000.00   32.84    0.3400 9000.00000 9000.00000 9000.000
  1730  207.09   12.255  -50.10   12.0    1.2033    0.0581   14.00 9000.00 9000.00   32.75    0.3700 9000.00000 9000.00000 9000.000
  1740  204.85   12.326  -50.50    9.0    1.2409    0.0606   14.11 9000.00 9000.00   32.75    0.3800 9000.00000 9000.00000 9000.000
  1750  202.58   12.398  -51.20    7.0    1.3158    0.0650   14.22 9000.00 9000.00   32.65    0.4000 9000.00000 9000.00000 9000.000
  1760  201.29   12.440  -51.50    6.0    1.3911    0.0691   14.29 9000.00 9000.00   32.66    0.4200 9000.00000 9000.00000 9000.000
  1770  199.75   12.489  -52.00    6.0    1.3531    0.0677   14.37 9000.00 9000.00   32.56    0.4100 9000.00000 9000.00000 9000.000
  1780  197.95   12.548  -52.50    6.0    1.4284    0.0722   14.47 9000.00 9000.00   32.56    0.4300 9000.00000 9000.00000 9000.000
  1790  196.28   12.603  -52.90    6.0    1.4656    0.0747   14.57 9000.00 9000.00   32.47    0.4400 9000.00000 9000.00000 9000.000
  1800  194.33   12.667  -53.40    6.0    1.4277    0.0735   14.68 9000.00 9000.00   32.37    0.4300 9000.00000 9000.00000 9000.000
  1810  192.87   12.715  -53.70    6.0    1.3526    0.0701   14.77 9000.00 9000.00   32.37    0.4100 9000.00000 9000.00000 9000.000
  1820  191.60   12.758  -53.80    5.0    1.2776    0.0667   14.83 9000.00 9000.00   32.37    0.3900 9000.00000 9000.00000 9000.000
  1830  190.31   12.801  -54.00    5.0    1.2021    0.0632   14.90 9000.00 9000.00   32.28    0.3700 9000.00000 9000.00000 9000.000
  1840  188.91   12.849  -54.20    4.0    1.1646    0.0616   14.97 9000.00 9000.00   32.28    0.3600 9000.00000 9000.00000 9000.000
  1850  187.48   12.897  -54.60    4.0    1.1268    0.0601   15.04 9000.00 9000.00   32.18    0.3500 9000.00000 9000.00000 9000.000
