   100  754.99    2.542   17.31 9000.0    2.3956    0.0317    1.58   50.00    5.80   39.82    0.6400   36.75600   -1.30500 9000.000
   102  753.62    2.557   17.11 9000.0    2.3955    0.0318    1.61   50.00    5.60   39.80    0.6400   36.75600   -1.30500 9000.000
   104  752.25    2.573   16.95 9000.0    2.4353    0.0324    1.65   50.00    5.50   39.79    0.6500   36.75600   -1.30500 9000.000
   106  750.80    2.589   16.82 9000.0    2.4350    0.0324    1.68   50.00    5.30   39.75    0.6500   36.75600   -1.30500 9000.000
   108  749.23    2.607   16.63 9000.0    2.4347    0.0325    1.72   49.00    5.20   39.71    0.6500   36.75600   -1.30600 9000.000
   110  747.68    2.625   16.41 9000.0    2.4344    0.0326    1.76   49.00    5.00   39.67    0.6500   36.75600   -1.30600 9000.000
   112  746.28    2.641   16.22 9000.0    2.3943    0.0321    1.80   49.00    4.90   39.64    0.6400   36.75600   -1.30600 9000.000
   114  744.91    2.656   15.98 9000.0    2.3940    0.0321    1.83   49.00    4.90   39.61    0.6400   36.75600   -1.30600 9000.000
   116  743.57    2.672   15.75 9000.0    2.3940    0.0322    1.87   49.00    4.90   39.61    0.6400   36.75500   -1.30600 9000.000
   118  742.45    2.684   15.60 9000.0    2.3940    0.0322    1.90   49.00    4.90   39.61    0.6400   36.75500   -1.30600 9000.000
   120  741.52    2.695   15.49 9000.0    2.3940    0.0323    1.92   49.00    5.00   39.61    0.6400   36.75500   -1.30600 9000.000
   122  740.58    2.706   15.39 9000.0    2.3940    0.0323    1.94   49.00    5.10   39.61    0.6400   36.75500   -1.30600 9000.000
   124  739.55    2.718   15.41 9000.0    2.3941    0.0324    1.97   48.00    5.20   39.62    0.6400   36.75500   -1.30600 9000.000
   126  738.51    2.730   15.72 9000.0    2.3943    0.0324    2.00   48.00    5.30   39.64    0.6400   36.75500   -1.30600 9000.000
   128  737.45    2.742   16.31 9000.0    2.3944    0.0325    2.02   47.00    5.40   39.66    0.6400   36.75500   -1.30600 9000.000
   130  736.38    2.754   16.72 9000.0    2.3946    0.0325    2.05   47.00    5.50   39.68    0.6400   36.75500   -1.30600 9000.000
   132  735.27    2.767   16.69 9000.0    2.3946    0.0326    2.08   46.00    5.60   39.69    0.6400   36.75500   -1.30600 9000.000
   134  734.14    2.780   16.66 9000.0    2.3948    0.0326    2.11   46.00    5.60   39.71    0.6400   36.75500   -1.30600 9000.000
   136  733.07    2.793   16.70 9000.0    2.3950    0.0327    2.14   45.00    5.60   39.73    0.6400   36.75500   -1.30600 9000.000
   138  732.03    2.805   16.64 9000.0    2.3952    0.0327    2.16   45.00    5.50   39.76    0.6400   36.75500   -1.30600 9000.000
   140  731.08    2.816   16.54 9000.0    2.3553    0.0322    2.19   44.00    5.50   39.77    0.6300   36.75400   -1.30600 9000.000
   142  730.22    2.826   16.46 9000.0    2.3555    0.0323    2.21   44.00    5.30   39.79    0.6300   36.75400   -1.30600 9000.000
   144  729.44    2.835   16.38 9000.0    2.3555    0.0323    2.23   43.00    5.20   39.79    0.6300   36.75400   -1.30700 9000.000
   146  728.56    2.845   16.34 9000.0    2.3555    0.0323    2.25   43.00    5.10   39.79    0.6300   36.75400   -1.30700 9000.000
   148  727.59    2.857   16.29 9000.0    2.3553    0.0324    2.28   42.00    4.90   39.77    0.6300   36.75400   -1.30700 9000.000
   150  726.74    2.867   16.20 9000.0    2.3553    0.0324    2.30   42.00    4.80   39.76    0.6300   36.75400   -1.30700 9000.000
   152  725.96    2.876   16.11 9000.0    2.3553    0.0324    2.32   41.00    4.70   39.76    0.6300   36.75400   -1.30700 9000.000
   154  725.06    2.886   16.06 9000.0    2.3552    0.0325    2.34   40.00    4.60   39.75    0.6300   36.75400   -1.30700 9000.000
   156  724.11    2.898   16.15 9000.0    2.3551    0.0325    2.37   39.00    4.50   39.74    0.6300   36.75400   -1.30700 9000.000
   158  723.21    2.908   16.28 9000.0    2.3550    0.0326    2.39   38.00    4.50   39.72    0.6300   36.75400   -1.30700 9000.000
   160  722.39    2.918   16.28 9000.0    2.3549    0.0326    2.41   36.00    4.60   39.71    0.6300   36.75400   -1.30700 9000.000
   162  721.60    2.927   16.24 9000.0    2.3549    0.0326    2.43   35.00    4.60   39.71    0.6300   36.75400   -1.30700 9000.000
   164  720.83    2.936   16.23 9000.0    2.3548    0.0327    2.45   33.00    4.80   39.70    0.6300   36.75400   -1.30700 9000.000
   166  720.00    2.946   16.16 9000.0    2.3547    0.0327    2.47   32.00    4.90   39.69    0.6300   36.75400   -1.30700 9000.000
   168  719.00    2.958   16.06 9000.0    2.3547    0.0328    2.50   31.00    5.00   39.69    0.6300   36.75400   -1.30700 9000.000
   170  717.82    2.972   15.94 9000.0    2.3548    0.0328    2.53   30.00    5.20   39.70    0.6300   36.75400   -1.30700 9000.000
   172  716.74    2.985   15.85 9000.0    2.3549    0.0329    2.56   29.00    5.30   39.71    0.6300   36.75400   -1.30700 9000.000
   174  715.87    2.995   15.80 9000.0    2.3549    0.0329    2.58   28.00    5.40   39.71    0.6300   36.75400   -1.30800 9000.000
   176  715.09    3.004   15.76 9000.0    2.3549    0.0329    2.60   28.00    5.50   39.71    0.6300   36.75400   -1.30800 9000.000
   178  714.20    3.015   15.62 9000.0    2.3549    0.0330    2.62   29.00    5.60   39.71    0.6300   36.75400   -1.30800 9000.000
   180  713.28    3.026   15.46 9000.0    2.3547    0.0330    2.65   29.00    5.60   39.69    0.6300   36.75400   -1.30800 9000.000
   182  712.52    3.035   15.37 9000.0    2.3547    0.0330    2.67   30.00    5.60   39.68    0.6300   36.75400   -1.30800 9000.000
   184  711.81    3.043   15.32 9000.0    2.3547    0.0331    2.68   31.00    5.60   39.68    0.6300   36.75400   -1.30800 9000.000
   186  710.99    3.053   15.26 9000.0    2.3546    0.0331    2.71   33.00    5.60   39.67    0.6300   36.75400   -1.30800 9000.000
   188  710.05    3.064   15.18 9000.0    2.3546    0.0332    2.73   34.00    5.50   39.67    0.6300   36.75300   -1.30800 9000.000
   190  709.13    3.075   15.11 9000.0    2.3546    0.0332    2.75   35.00    5.40   39.67    0.6300   36.75300   -1.30800 9000.000
   192  708.27    3.086   15.03 9000.0    2.3546    0.0332    2.78   37.00    5.30   39.67    0.6300   36.75300   -1.30800 9000.000
   194  707.36    3.096   14.89 9000.0    2.3547    0.0333    2.80   38.00    5.30   39.68    0.6300   36.75300   -1.30900 9000.000
   196  706.35    3.109   14.74 9000.0    2.3548    0.0333    2.83   39.00    5.20   39.70    0.6300   36.75300   -1.30900 9000.000
   198  705.28    3.121   14.61 9000.0    2.3549    0.0334    2.86   40.00    5.20   39.71    0.6300   36.75300   -1.30900 9000.000
   200  704.21    3.134   14.50 9000.0    2.3550    0.0334    2.88   40.00    5.10   39.73    0.6300   36.75300   -1.30900 9000.000
   202  703.14    3.147   14.38 9000.0    2.3550    0.0335    2.91   40.00    5.10   39.73    0.6300   36.75300   -1.30900 9000.000
   204  702.10    3.160   14.27 9000.0    2.3550    0.0335    2.94   40.00    5.10   39.73    0.6300   36.75300   -1.30900 9000.000
   206  701.23    3.170   14.18 9000.0    2.3550    0.0336    2.96   40.00    5.10   39.73    0.6300   36.75300   -1.30900 9000.000
   208  700.51    3.179   14.16 9000.0    2.3549    0.0336    2.98   39.00    5.10   39.71    0.6300   36.75300   -1.30900 9000.000
   210  699.88    3.186   14.12 9000.0    2.3547    0.0336    3.00   39.00    5.10   39.69    0.6300   36.75300   -1.30900 9000.000
   212  699.25    3.194   14.00 9000.0    2.3544    0.0337    3.02   38.00    5.20   39.65    0.6300   36.75300   -1.30900 9000.000
   214  698.51    3.203   13.93 9000.0    2.3542    0.0337    3.04   37.00    5.20   39.62    0.6300   36.75200   -1.30900 9000.000
   216  697.64    3.213   13.90 9000.0    2.3542    0.0337    3.06   37.00    5.20   39.62    0.6300   36.75200   -1.30900 9000.000
   218  696.82    3.223   13.82 9000.0    2.3542    0.0338    3.08   36.00    5.20   39.62    0.6300   36.75200   -1.30900 9000.000
   220  696.00    3.233   13.72 9000.0    2.3542    0.0338    3.10   36.00    5.20   39.62    0.6300   36.75200   -1.30900 9000.000
   222  695.19    3.243   13.64 9000.0    2.3543    0.0339    3.12   35.00    5.20   39.63    0.6300   36.75200   -1.31000 9000.000
   224  694.39    3.253   13.60 9000.0    2.3544    0.0339    3.15   34.00    5.20   39.64    0.6300   36.75200   -1.31000 9000.000
   226  693.55    3.263   13.56 9000.0    2.3544    0.0339    3.17   33.00    5.20   39.65    0.6300   36.75200   -1.31000 9000.000
   228  692.67    3.274   13.49 9000.0    2.3545    0.0340    3.19   33.00    5.10   39.66    0.6300   36.75200   -1.31000 9000.000
   230  691.75    3.285   13.40 9000.0    2.3547    0.0340    3.22   32.00    5.00   39.68    0.6300   36.75200   -1.31000 9000.000
   232  690.72    3.297   13.23 9000.0    2.3547    0.0341    3.24   31.00    4.90   39.69    0.6300   36.75200   -1.31000 9000.000
   234  689.65    3.311   13.04 9000.0    2.3548    0.0341    3.27   30.00    4.80   39.70    0.6300   36.75200   -1.31000 9000.000
   236  688.66    3.323   12.95 9000.0    2.3548    0.0342    3.30   29.00    4.70   39.70    0.6300   36.75200   -1.31000 9000.000
   238  687.64    3.335   12.85 9000.0    2.3548    0.0342    3.33   28.00    4.60   39.70    0.6300   36.75200   -1.31000 9000.000
   240  686.58    3.348   12.70 9000.0    2.3548    0.0343    3.36   27.00    4.40   39.70    0.6300   36.75200   -1.31000 9000.000
   242  685.63    3.360   12.64 9000.0    2.3547    0.0343    3.38   26.00    4.30   39.69    0.6300   36.75200   -1.31000 9000.000
   244  684.84    3.369   12.57 9000.0    2.3546    0.0344    3.40   25.00    4.10   39.67    0.6300   36.75200   -1.31000 9000.000
   246  684.12    3.378   12.42 9000.0    2.3545    0.0344    3.42   25.00    4.00   39.66    0.6300   36.75200   -1.31100 9000.000
   248  683.19    3.390   12.30 9000.0    2.3545    0.0345    3.45   24.00    3.80   39.66    0.6300   36.75200   -1.31100 9000.000
   250  682.06    3.404   12.21 9000.0    2.3546    0.0345    3.48   24.00    3.70   39.67    0.6300   36.75200   -1.31100 9000.000
   252  680.85    3.418   12.12 9000.0    2.3546    0.0346    3.51   24.00    3.60   39.67    0.6300   36.75200   -1.31100 9000.000
   254  679.84    3.431   12.07 9000.0    2.3547    0.0346    3.54   24.00    3.50   39.68    0.6300   36.75200   -1.31100 9000.000
   256  678.98    3.441   12.03 9000.0    2.3546    0.0347    3.56   25.00    3.40   39.67    0.6300   36.75200   -1.31100 9000.000
   258  678.05    3.453   11.95 9000.0    2.3546    0.0347    3.59   26.00    3.40   39.67    0.6300   36.75200   -1.31100 9000.000
   260  676.99    3.466   11.85 9000.0    2.3546    0.0348    3.62   26.00    3.30   39.67    0.6300   36.75200   -1.31100 9000.000
   262  675.96    3.479   11.77 9000.0    2.3543    0.0348    3.65   27.00    3.30   39.63    0.6300   36.75200   -1.31100 9000.000
   264  675.08    3.490   11.67 9000.0    2.3541    0.0349    3.67   28.00    3.30   39.60    0.6300   36.75200   -1.31100 9000.000
   266  674.29    3.500   11.57 9000.0    2.3538    0.0349    3.69   29.00    3.30   39.57    0.6300   36.75200   -1.31100 9000.000
   268  673.37    3.511   11.45 9000.0    2.3538    0.0350    3.72   29.00    3.30   39.56    0.6300   36.75200   -1.31100 9000.000
   270  672.38    3.523   11.39 9000.0    2.3538    0.0350    3.74   30.00    3.20   39.56    0.6300   36.75100   -1.31100 9000.000
   272  671.41    3.535   11.31 9000.0    2.3538    0.0351    3.77   30.00    3.10   39.56    0.6300   36.75100   -1.31100 9000.000
   274  670.45    3.547   11.20 9000.0    2.3538    0.0351    3.80   30.00    3.00   39.56    0.6300   36.75100   -1.31100 9000.000
   276  669.54    3.559   11.09 9000.0    2.3538    0.0352    3.82   29.00    2.90   39.57    0.6300   36.75100   -1.31100 9000.000
   278  668.61    3.570   11.01 9000.0    2.3539    0.0352    3.85   29.00    2.80   39.58    0.6300   36.75100   -1.31100 9000.000
   280  667.61    3.583   10.87 9000.0    2.3539    0.0353    3.88   28.00    2.60   39.58    0.6300   36.75100   -1.31100 9000.000
   282  666.67    3.595   10.73 9000.0    2.3539    0.0353    3.90   27.00    2.50   39.58    0.6300   36.75100   -1.31100 9000.000
   284  665.83    3.605   10.68 9000.0    2.3539    0.0354    3.93   25.00    2.30   39.58    0.6300   36.75100   -1.31100 9000.000
   286  664.86    3.617   10.69 9000.0    2.3538    0.0354    3.95   23.00    2.10   39.57    0.6300   36.75100   -1.31100 9000.000
   288  663.83    3.630   10.64 9000.0    2.3536    0.0355    3.98   21.00    1.90   39.54    0.6300   36.75100   -1.31100 9000.000
   290  662.80    3.643   10.51 9000.0    2.3535    0.0355    4.01   18.00    1.80   39.52    0.6300   36.75100   -1.31100 9000.000
   292  661.83    3.655   10.41 9000.0    2.3532    0.0356    4.04   15.00    1.60   39.49    0.6300   36.75100   -1.31100 9000.000
   294  660.87    3.667   10.33 9000.0    2.3132    0.0350    4.06   11.00    1.50   39.47    0.6200   36.75100   -1.31100 9000.000
   296  659.84    3.680   10.25 9000.0    2.3130    0.0351    4.09    7.00    1.50   39.44    0.6200   36.75100   -1.31200 9000.000
   298  658.79    3.694   10.16 9000.0    2.3529    0.0357    4.12    4.00    1.40   39.45    0.6300   36.75100   -1.31200 9000.000
   300  657.74    3.707   10.06 9000.0    2.3529    0.0358    4.15    1.00    1.40   39.45    0.6300   36.75100   -1.31200 9000.000
   302  656.76    3.719    9.92 9000.0    2.3531    0.0358    4.18  357.00    1.30   39.47    0.6300   36.75100   -1.31200 9000.000
   304  655.86    3.731    9.76 9000.0    2.3532    0.0359    4.21  355.00    1.30   39.49    0.6300   36.75100   -1.31200 9000.000
   306  654.99    3.742    9.69 9000.0    2.3534    0.0359    4.23  352.00    1.30   39.51    0.6300   36.75100   -1.31200 9000.000
   308  654.16    3.752    9.63 9000.0    2.3536    0.0360    4.25  350.00    1.20   39.54    0.6300   36.75100   -1.31200 9000.000
   310  653.30    3.763    9.51 9000.0    2.3537    0.0360    4.28  347.00    1.10   39.55    0.6300   36.75100   -1.31200 9000.000
   312  652.37    3.775    9.38 9000.0    2.3538    0.0361    4.30  344.00    1.00   39.57    0.6300   36.75100   -1.31200 9000.000
   314  651.47    3.786    9.22 9000.0    2.3541    0.0361    4.33  340.00    0.90   39.60    0.6300   36.75100   -1.31200 9000.000
   316  650.54    3.798    9.04 9000.0    2.3541    0.0362    4.36  333.00    0.70   39.61    0.6300   36.75100   -1.31200 9000.000
   318  649.74    3.809    8.96 9000.0    2.3543    0.0362    4.38  323.00    0.60   39.63    0.6300   36.75100   -1.31200 9000.000
   320  649.02    3.818    8.87 9000.0    2.3544    0.0363    4.40    0.00    0.40   39.64    0.6300   36.75100   -1.31200 9000.000
   322  648.17    3.829    8.74 9000.0    2.3944    0.0369    4.42    0.00    0.30   39.66    0.6400   36.75100   -1.31200 9000.000
   324  647.22    3.841    8.66 9000.0    2.3946    0.0370    4.45    0.00    0.40   39.68    0.6400   36.75100   -1.31200 9000.000
   326  646.16    3.854    8.58 9000.0    2.3946    0.0371    4.48  203.00    0.50   39.68    0.6400   36.75100   -1.31200 9000.000
   328  645.08    3.868    8.52 9000.0    2.3946    0.0371    4.52  190.00    0.70   39.68    0.6400   36.75100   -1.31200 9000.000
   330  644.28    3.878    8.48 9000.0    2.3945    0.0372    4.54  182.00    0.90   39.67    0.6400   36.75100   -1.31200 9000.000
   332  643.65    3.887    8.46 9000.0    2.3943    0.0372    4.56  176.00    1.10   39.65    0.6400   36.75100   -1.31200 9000.000
   334  642.87    3.897    8.33 9000.0    2.3943    0.0372    4.58  170.00    1.30   39.64    0.6400   36.75100   -1.31200 9000.000
   336  641.89    3.909    8.19 9000.0    2.4342    0.0379    4.61  166.00    1.40   39.64    0.6500   36.75100   -1.31200 9000.000
   338  640.79    3.923    8.13 9000.0    2.4340    0.0380    4.64  163.00    1.60   39.62    0.6500   36.75100   -1.31200 9000.000
   340  639.69    3.938    8.09 9000.0    2.4340    0.0380    4.67  160.00    1.70   39.62    0.6500   36.75100   -1.31200 9000.000
   342  638.66    3.951    8.30 9000.0    2.4339    0.0381    4.71  157.00    1.80   39.61    0.6500   36.75100   -1.31200 9000.000
   344  637.78    3.962    8.91 9000.0    2.3937    0.0375    4.73  156.00    1.90   39.57    0.6400   36.75100   -1.31100 9000.000
   346  636.98    3.973    9.43 9000.0    2.3937    0.0376    4.76  155.00    2.00   39.56    0.6400   36.75100   -1.31100 9000.000
   348  636.28    3.982    9.59 9000.0    2.3937    0.0376    4.78  156.00    2.10   39.56    0.6400   36.75100   -1.31100 9000.000
   350  635.65    3.990    9.57 9000.0    2.3937    0.0377    4.80  157.00    2.20   39.56    0.6400   36.75100   -1.31100 9000.000
   352  634.93    4.000    9.45 9000.0    2.4336    0.0383    4.82  159.00    2.20   39.57    0.6500   36.75100   -1.31100 9000.000
   354  634.18    4.009    9.38 9000.0    2.4736    0.0390    4.84  161.00    2.30   39.58    0.6600   36.75100   -1.31100 9000.000
   356  633.34    4.020    9.31 9000.0    2.4738    0.0391    4.87  164.00    2.40   39.60    0.6600   36.75100   -1.31100 9000.000
   358  632.55    4.031    9.20 9000.0    2.5137    0.0397    4.89  168.00    2.40   39.61    0.6700   36.75100   -1.31100 9000.000
   360  631.74    4.041    9.07 9000.0    2.5137    0.0398    4.92  171.00    2.50   39.61    0.6700   36.75100   -1.31100 9000.000
   362  630.79    4.054    8.92 9000.0    2.5536    0.0405    4.95  174.00    2.60   39.61    0.6800   36.75100   -1.31100 9000.000
   364  629.79    4.067    8.80 9000.0    2.5536    0.0405    4.98  177.00    2.70   39.61    0.6800   36.75100   -1.31100 9000.000
   366  628.71    4.081    8.72 9000.0    2.5536    0.0406    5.01  179.00    2.80   39.61    0.6800   36.75100   -1.31100 9000.000
   368  627.83    4.093    8.68 9000.0    2.5536    0.0407    5.04  181.00    2.90   39.61    0.6800   36.75100   -1.31100 9000.000
   370  627.14    4.102    8.67 9000.0    2.5536    0.0407    5.06  183.00    3.00   39.61    0.6800   36.75100   -1.31100 9000.000
   372  626.39    4.112    8.62 9000.0    2.5536    0.0408    5.09  184.00    3.00   39.60    0.6800   36.75100   -1.31100 9000.000
   374  625.57    4.123    8.48 9000.0    2.5536    0.0408    5.11  185.00    3.00   39.61    0.6800   36.75100   -1.31100 9000.000
   376  624.64    4.135    8.32 9000.0    2.5935    0.0415    5.14  186.00    3.00   39.61    0.6900   36.75100   -1.31100 9000.000
   378  623.60    4.149    8.19 9000.0    2.5935    0.0416    5.18  186.00    3.00   39.61    0.6900   36.75100   -1.31100 9000.000
   380  622.62    4.162    8.12 9000.0    2.5935    0.0417    5.21  187.00    3.00   39.61    0.6900   36.75100   -1.31100 9000.000
   382  621.88    4.172    8.11 9000.0    2.5537    0.0411    5.23  187.00    2.90   39.62    0.6800   36.75100   -1.31100 9000.000
   384  621.25    4.180    8.06 9000.0    2.5537    0.0411    5.25  187.00    2.80   39.62    0.6800   36.75100   -1.31100 9000.000
   386  620.70    4.187    7.97 9000.0    2.5535    0.0411    5.27  186.00    2.70   39.59    0.6800   36.75100   -1.31100 9000.000
   388  620.19    4.194    7.88 9000.0    2.5531    0.0412    5.29  186.00    2.60   39.55    0.6800   36.75100   -1.31100 9000.000
