   104  768.31    2.417   12.47   78.0    3.5575    0.0463    2.07  101.00    5.70   35.13    0.9800 9000.00000 9000.00000 9000.000
   106  767.21    2.429   12.31   79.0    3.5193    0.0459    2.11   99.00    5.40   35.13    0.9700 9000.00000 9000.00000 9000.000
   108  766.26    2.439   12.21   79.0    3.4810    0.0454    2.15   99.00    5.10   35.13    0.9600 9000.00000 9000.00000 9000.000
   110  765.46    2.448   12.22   78.0    3.4808    0.0455    2.18   98.00    4.90   35.11    0.9600 9000.00000 9000.00000 9000.000
   112  764.64    2.457   12.16   78.0    3.4807    0.0455    2.21   99.00    4.60   35.10    0.9600 9000.00000 9000.00000 9000.000
   114  763.64    2.468   12.00   79.0    3.4424    0.0451    2.24  100.00    4.40   35.10    0.9500 9000.00000 9000.00000 9000.000
   116  762.53    2.480   11.89   80.0    3.4806    0.0456    2.28  101.00    4.30   35.09    0.9600 9000.00000 9000.00000 9000.000
   118  761.26    2.494   11.74   80.0    3.4804    0.0457    2.33  103.00    4.20   35.08    0.9600 9000.00000 9000.00000 9000.000
   120  760.06    2.507   11.62   81.0    3.4422    0.0453    2.37  105.00    4.10   35.08    0.9500 9000.00000 9000.00000 9000.000
   122  758.90    2.520   11.53   81.0    3.4422    0.0454    2.41  108.00    4.00   35.08    0.9500 9000.00000 9000.00000 9000.000
   124  757.71    2.533   11.42   81.0    3.4422    0.0454    2.45  110.00    4.10   35.08    0.9500 9000.00000 9000.00000 9000.000
   126  756.76    2.544   11.36   82.0    3.4040    0.0450    2.49  112.00    4.10   35.08    0.9400 9000.00000 9000.00000 9000.000
   128  755.75    2.555   11.27   82.0    3.4037    0.0450    2.52  114.00    4.10   35.06    0.9400 9000.00000 9000.00000 9000.000
   130  754.55    2.568   11.11   83.0    3.4037    0.0451    2.57  116.00    4.20   35.06    0.9400 9000.00000 9000.00000 9000.000
   132  753.37    2.582   10.99   83.0    3.3654    0.0447    2.61  117.00    4.20   35.05    0.9300 9000.00000 9000.00000 9000.000
   134  752.25    2.594   10.88   83.0    3.3654    0.0447    2.65  118.00    4.30   35.05    0.9300 9000.00000 9000.00000 9000.000
   136  751.13    2.606   10.71   84.0    3.3272    0.0443    2.69  118.00    4.30   35.06    0.9200 9000.00000 9000.00000 9000.000
   138  750.02    2.619   10.62   85.0    3.3272    0.0444    2.73  119.00    4.30   35.06    0.9200 9000.00000 9000.00000 9000.000
   140  748.83    2.632   10.60   85.0    3.3272    0.0444    2.77  119.00    4.40   35.06    0.9200 9000.00000 9000.00000 9000.000
   142  747.53    2.647   10.53   85.0    3.3274    0.0445    2.81  119.00    4.40   35.07    0.9200 9000.00000 9000.00000 9000.000
   144  746.14    2.662   10.37   85.0    3.3274    0.0446    2.86  120.00    4.40   35.07    0.9200 9000.00000 9000.00000 9000.000
   146  744.81    2.677   10.24   85.0    3.3274    0.0447    2.91  120.00    4.40   35.07    0.9200 9000.00000 9000.00000 9000.000
   148  743.65    2.690   10.17   85.0    3.3274    0.0447    2.95  120.00    4.50   35.07    0.9200 9000.00000 9000.00000 9000.000
   150  742.47    2.703   10.05   86.0    3.3272    0.0448    2.99  120.00    4.50   35.06    0.9200 9000.00000 9000.00000 9000.000
   152  741.42    2.715    9.96   87.0    3.2889    0.0444    3.03  120.00    4.50   35.05    0.9100 9000.00000 9000.00000 9000.000
   154  740.52    2.725    9.91   87.0    3.2888    0.0444    3.06  120.00    4.50   35.04    0.9100 9000.00000 9000.00000 9000.000
   156  739.48    2.737    9.79   86.0    3.2889    0.0445    3.10  119.00    4.60   35.05    0.9100 9000.00000 9000.00000 9000.000
   158  738.30    2.750    9.57   87.0    3.2890    0.0445    3.14  119.00    4.60   35.06    0.9100 9000.00000 9000.00000 9000.000
   160  737.22    2.762    9.44   88.0    3.2890    0.0446    3.18  118.00    4.60   35.06    0.9100 9000.00000 9000.00000 9000.000
   162  736.25    2.773    9.34   89.0    3.2891    0.0447    3.21  117.00    4.50   35.07    0.9100 9000.00000 9000.00000 9000.000
   164  735.27    2.784    9.24   89.0    3.2509    0.0442    3.25  116.00    4.50   35.07    0.9000 9000.00000 9000.00000 9000.000
   166  734.29    2.795    9.18   89.0    3.2509    0.0443    3.28  114.00    4.50   35.07    0.9000 9000.00000 9000.00000 9000.000
   168  733.28    2.807    9.17   88.0    3.2510    0.0443    3.32  112.00    4.40   35.08    0.9000 9000.00000 9000.00000 9000.000
   170  732.34    2.818    9.10   88.0    3.2511    0.0444    3.35  110.00    4.30   35.09    0.9000 9000.00000 9000.00000 9000.000
   172  731.39    2.828    8.98   88.0    3.2128    0.0439    3.38  107.00    4.20   35.09    0.8900 9000.00000 9000.00000 9000.000
   174  730.28    2.841    8.84   89.0    3.2512    0.0445    3.42  104.00    4.10   35.10    0.9000 9000.00000 9000.00000 9000.000
   176  729.06    2.855    8.66   90.0    3.2513    0.0446    3.46  101.00    4.10   35.11    0.9000 9000.00000 9000.00000 9000.000
   178  727.73    2.870    8.56   90.0    3.2130    0.0442    3.51   98.00    4.00   35.11    0.8900 9000.00000 9000.00000 9000.000
   180  726.41    2.885    8.59   88.0    3.2130    0.0442    3.56   95.00    4.00   35.11    0.8900 9000.00000 9000.00000 9000.000
   182  725.39    2.897    8.82   83.0    3.2129    0.0443    3.59   92.00    4.10   35.10    0.8900 9000.00000 9000.00000 9000.000
   184  724.51    2.907    9.32   74.0    3.1746    0.0438    3.62   89.00    4.10   35.09    0.8800 9000.00000 9000.00000 9000.000
   186  723.51    2.918    9.87   65.0    3.1744    0.0439    3.66   86.00    4.30   35.07    0.8800 9000.00000 9000.00000 9000.000
   188  722.40    2.931   10.18   61.0    3.1361    0.0434    3.69   83.00    4.40   35.07    0.8700 9000.00000 9000.00000 9000.000
   190  721.36    2.943   10.54   56.0    3.0979    0.0429    3.73   81.00    4.60   35.07    0.8600 9000.00000 9000.00000 9000.000
   192  720.34    2.955   10.97   48.0    3.0596    0.0425    3.76   79.00    4.80   35.07    0.8500 9000.00000 9000.00000 9000.000
   194  719.13    2.969   11.06   45.0    3.0216    0.0420    3.81   77.00    5.10   35.09    0.8400 9000.00000 9000.00000 9000.000
   196  717.84    2.984   11.00   42.0    2.9834    0.0416    3.85   76.00    5.30   35.10    0.8300 9000.00000 9000.00000 9000.000
   198  716.60    2.998   11.02   39.0    2.9452    0.0411    3.89   74.00    5.50   35.10    0.8200 9000.00000 9000.00000 9000.000
   200  715.37    3.012   11.07   36.0    2.8687    0.0401    3.93   73.00    5.80   35.10    0.8000 9000.00000 9000.00000 9000.000
   202  714.35    3.024   11.14   35.0    2.8303    0.0396    3.96   72.00    6.00   35.09    0.7900 9000.00000 9000.00000 9000.000
   204  713.30    3.037   11.18   37.0    2.7538    0.0386    3.99   71.00    6.20   35.09    0.7700 9000.00000 9000.00000 9000.000
   206  712.17    3.050   11.07   40.0    2.7155    0.0381    4.03   70.00    6.30   35.08    0.7600 9000.00000 9000.00000 9000.000
   208  711.20    3.061   11.02   42.0    2.7155    0.0382    4.06   69.00    6.40   35.08    0.7600 9000.00000 9000.00000 9000.000
   210  710.30    3.072   10.99   42.0    2.6389    0.0372    4.08   68.00    6.50   35.07    0.7400 9000.00000 9000.00000 9000.000
   212  709.41    3.082   10.97   42.0    2.6006    0.0367    4.11   67.00    6.50   35.06    0.7300 9000.00000 9000.00000 9000.000
   214  708.59    3.092   10.99   41.0    2.5240    0.0356    4.13   67.00    6.50   35.05    0.7100 9000.00000 9000.00000 9000.000
   216  707.73    3.102   10.93   41.0    2.4475    0.0346    4.16   66.00    6.50   35.05    0.6900 9000.00000 9000.00000 9000.000
   218  706.72    3.114   10.79   41.0    2.4093    0.0341    4.18   66.00    6.40   35.05    0.6800 9000.00000 9000.00000 9000.000
   220  705.57    3.128   10.63   41.0    2.3329    0.0331    4.21   65.00    6.40   35.06    0.6600 9000.00000 9000.00000 9000.000
   222  704.52    3.140   10.58   42.0    2.3329    0.0331    4.24   65.00    6.40   35.06    0.6600 9000.00000 9000.00000 9000.000
   224  703.65    3.150   10.58   41.0    2.2564    0.0321    4.26   64.00    6.30   35.06    0.6400 9000.00000 9000.00000 9000.000
   226  702.68    3.162   10.48   41.0    2.1799    0.0310    4.29   63.00    6.30   35.06    0.6200 9000.00000 9000.00000 9000.000
   228  701.76    3.173   10.39   40.0    2.1799    0.0311    4.31   63.00    6.40   35.06    0.6200 9000.00000 9000.00000 9000.000
   230  700.91    3.183   10.36   39.0    2.1417    0.0306    4.33   62.00    6.40   35.06    0.6100 9000.00000 9000.00000 9000.000
   232  700.02    3.193   10.31   39.0    2.1034    0.0300    4.35   61.00    6.50   35.06    0.6000 9000.00000 9000.00000 9000.000
   234  699.18    3.203   10.29   39.0    2.1035    0.0301    4.37   59.00    6.60   35.07    0.6000 9000.00000 9000.00000 9000.000
   236  698.35    3.213   10.22   39.0    2.0653    0.0296    4.39   58.00    6.80   35.08    0.5900 9000.00000 9000.00000 9000.000
   238  697.51    3.223   10.10   40.0    2.0654    0.0296    4.41   57.00    7.00   35.09    0.5900 9000.00000 9000.00000 9000.000
   240  696.64    3.234   10.02   40.0    2.0271    0.0291    4.43   55.00    7.20   35.09    0.5800 9000.00000 9000.00000 9000.000
   242  695.58    3.246    9.90   42.0    2.0272    0.0291    4.46   54.00    7.40   35.10    0.5800 9000.00000 9000.00000 9000.000
   244  694.39    3.260    9.82   44.0    1.9890    0.0286    4.48   52.00    7.60   35.11    0.5700 9000.00000 9000.00000 9000.000
   246  693.16    3.275    9.78   46.0    1.9890    0.0287    4.51   51.00    7.90   35.11    0.5700 9000.00000 9000.00000 9000.000
   248  691.85    3.291    9.67   48.0    1.9891    0.0288    4.54   49.00    8.10   35.12    0.5700 9000.00000 9000.00000 9000.000
   250  690.50    3.307    9.52   49.0    1.9891    0.0288    4.57   48.00    8.30   35.12    0.5700 9000.00000 9000.00000 9000.000
   252  689.35    3.321    9.39   50.0    1.9891    0.0289    4.60   47.00    8.50   35.12    0.5700 9000.00000 9000.00000 9000.000
   254  688.56    3.330    9.34   50.0    1.9508    0.0283    4.61   46.00    8.60   35.12    0.5600 9000.00000 9000.00000 9000.000
   256  687.85    3.339    9.30   50.0    1.9891    0.0289    4.63   45.00    8.70   35.12    0.5700 9000.00000 9000.00000 9000.000
   258  686.96    3.350    9.18   50.0    1.9891    0.0290    4.65   44.00    8.70   35.12    0.5700 9000.00000 9000.00000 9000.000
   260  685.96    3.362    9.07   51.0    2.0273    0.0296    4.67   44.00    8.70   35.12    0.5800 9000.00000 9000.00000 9000.000
   262  684.83    3.375    8.94   53.0    2.0273    0.0296    4.70   43.00    8.70   35.11    0.5800 9000.00000 9000.00000 9000.000
   264  683.76    3.388    8.82   56.0    2.0273    0.0296    4.73   43.00    8.60   35.11    0.5800 9000.00000 9000.00000 9000.000
   266  682.94    3.398    8.84   57.0    2.0272    0.0297    4.75   42.00    8.50   35.10    0.5800 9000.00000 9000.00000 9000.000
   268  682.09    3.409    8.82   55.0    2.0272    0.0297    4.77   42.00    8.40   35.10    0.5800 9000.00000 9000.00000 9000.000
   270  681.22    3.419    8.72   53.0    2.0271    0.0298    4.79   42.00    8.30   35.09    0.5800 9000.00000 9000.00000 9000.000
   272  680.48    3.428    8.69   54.0    2.0271    0.0298    4.80   42.00    8.20   35.09    0.5800 9000.00000 9000.00000 9000.000
   274  679.68    3.438    8.62   56.0    2.0271    0.0298    4.82   42.00    8.10   35.09    0.5800 9000.00000 9000.00000 9000.000
   276  678.87    3.448    8.49   56.0    2.0271    0.0299    4.84   42.00    8.00   35.09    0.5800 9000.00000 9000.00000 9000.000
   278  678.09    3.457    8.41   57.0    2.0271    0.0299    4.86   42.00    8.00   35.09    0.5800 9000.00000 9000.00000 9000.000
   280  677.19    3.468    8.32   57.0    2.0272    0.0299    4.88   42.00    7.90   35.10    0.5800 9000.00000 9000.00000 9000.000
   282  676.21    3.480    8.21   57.0    2.0273    0.0300    4.90   42.00    7.80   35.12    0.5800 9000.00000 9000.00000 9000.000
   284  675.27    3.492    8.11   58.0    2.0273    0.0300    4.93   42.00    7.80   35.12    0.5800 9000.00000 9000.00000 9000.000
   286  674.36    3.503    8.04   58.0    2.0274    0.0301    4.95   42.00    7.80   35.13    0.5800 9000.00000 9000.00000 9000.000
   288  673.42    3.514    7.99   56.0    2.0274    0.0301    4.97   42.00    7.70   35.13    0.5800 9000.00000 9000.00000 9000.000
   290  672.51    3.526    7.95   55.0    2.0275    0.0301    4.99   42.00    7.70   35.14    0.5800 9000.00000 9000.00000 9000.000
   292  671.64    3.536    7.91   53.0    2.0275    0.0302    5.01   42.00    7.70   35.14    0.5800 9000.00000 9000.00000 9000.000
   294  670.73    3.547    7.78   53.0    2.0275    0.0302    5.03   42.00    7.60   35.14    0.5800 9000.00000 9000.00000 9000.000
   296  669.66    3.561    7.62   53.0    2.0275    0.0303    5.06   41.00    7.60   35.14    0.5800 9000.00000 9000.00000 9000.000
   298  668.54    3.574    7.56   51.0    2.0275    0.0303    5.09   40.00    7.50   35.14    0.5800 9000.00000 9000.00000 9000.000
   300  667.47    3.588    7.54   50.0    2.0274    0.0304    5.11   40.00    7.40   35.13    0.5800 9000.00000 9000.00000 9000.000
   302  666.56    3.599    7.53   49.0    2.0274    0.0304    5.13   39.00    7.30   35.13    0.5800 9000.00000 9000.00000 9000.000
   304  665.87    3.607    7.53   47.0    2.0274    0.0304    5.15   38.00    7.10   35.13    0.5800 9000.00000 9000.00000 9000.000
   306  665.11    3.617    7.45   46.0    2.0273    0.0305    5.17   37.00    6.90   35.12    0.5800 9000.00000 9000.00000 9000.000
   308  664.29    3.627    7.31   47.0    2.0656    0.0311    5.19   35.00    6.70   35.12    0.5900 9000.00000 9000.00000 9000.000
   310  663.31    3.639    7.15   48.0    2.0656    0.0311    5.21   33.00    6.50   35.12    0.5900 9000.00000 9000.00000 9000.000
   312  662.16    3.653    6.98   49.0    2.0657    0.0312    5.24   32.00    6.30   35.13    0.5900 9000.00000 9000.00000 9000.000
   314  661.17    3.666    6.91   50.0    2.0657    0.0312    5.27   29.00    6.10   35.13    0.5900 9000.00000 9000.00000 9000.000
   316  660.13    3.679    6.82   50.0    2.0657    0.0313    5.29   27.00    5.90   35.13    0.5900 9000.00000 9000.00000 9000.000
   318  659.05    3.692    6.66   51.0    2.0657    0.0313    5.32   25.00    5.70   35.13    0.5900 9000.00000 9000.00000 9000.000
   320  658.14    3.703    6.55   51.0    2.0657    0.0314    5.34   22.00    5.50   35.14    0.5900 9000.00000 9000.00000 9000.000
   322  657.08    3.717    6.45   52.0    2.0657    0.0314    5.37   19.00    5.40   35.13    0.5900 9000.00000 9000.00000 9000.000
   324  656.06    3.729    6.30   52.0    2.0657    0.0315    5.39   17.00    5.30   35.13    0.5900 9000.00000 9000.00000 9000.000
   326  655.13    3.741    6.18   52.0    2.0656    0.0315    5.42   14.00    5.20   35.12    0.5900 9000.00000 9000.00000 9000.000
   328  654.24    3.752    6.09   52.0    2.0655    0.0316    5.44   12.00    5.20   35.11    0.5900 9000.00000 9000.00000 9000.000
   330  653.36    3.763    6.02   52.0    2.0655    0.0316    5.46   11.00    5.20   35.11    0.5900 9000.00000 9000.00000 9000.000
   332  652.46    3.774    5.96   52.0    2.0655    0.0317    5.48   10.00    5.20   35.11    0.5900 9000.00000 9000.00000 9000.000
   334  651.47    3.787    5.86   52.0    2.0655    0.0317    5.51    9.00    5.30   35.10    0.5900 9000.00000 9000.00000 9000.000
   336  650.66    3.797    5.81   52.0    2.0655    0.0317    5.53    9.00    5.30   35.10    0.5900 9000.00000 9000.00000 9000.000
   338  649.96    3.806    5.79   52.0    2.0655    0.0318    5.54    8.00    5.40   35.10    0.5900 9000.00000 9000.00000 9000.000
   340  649.01    3.818    5.67   51.0    2.0654    0.0318    5.57    9.00    5.40   35.09    0.5900 9000.00000 9000.00000 9000.000
   342  647.93    3.832    5.51   51.0    2.0653    0.0319    5.60    9.00    5.50   35.08    0.5900 9000.00000 9000.00000 9000.000
   344  647.02    3.843    5.45   50.0    2.0653    0.0319    5.62    9.00    5.60   35.08    0.5900 9000.00000 9000.00000 9000.000
   346  646.17    3.854    5.38   50.0    2.0653    0.0320    5.64    8.00    5.70   35.08    0.5900 9000.00000 9000.00000 9000.000
   348  645.31    3.865    5.30   50.0    2.0653    0.0320    5.66    8.00    5.80   35.08    0.5900 9000.00000 9000.00000 9000.000
   350  644.48    3.875    5.26   50.0    2.0653    0.0320    5.68    7.00    5.90   35.08    0.5900 9000.00000 9000.00000 9000.000
   352  643.66    3.885    5.18   50.0    2.0654    0.0321    5.70    7.00    6.10   35.09    0.5900 9000.00000 9000.00000 9000.000
   354  642.79    3.897    5.06   49.0    2.0653    0.0321    5.73    6.00    6.20   35.08    0.5900 9000.00000 9000.00000 9000.000
   356  641.75    3.910    4.93   49.0    2.0654    0.0322    5.75    5.00    6.30   35.09    0.5900 9000.00000 9000.00000 9000.000
   358  640.58    3.925    4.80   48.0    2.0654    0.0322    5.78    5.00    6.50   35.09    0.5900 9000.00000 9000.00000 9000.000
   360  639.37    3.940    4.67   48.0    2.0655    0.0323    5.81    4.00    6.60   35.11    0.5900 9000.00000 9000.00000 9000.000
   362  638.38    3.953    4.55   48.0    2.0655    0.0324    5.84    4.00    6.80   35.11    0.5900 9000.00000 9000.00000 9000.000
   364  637.68    3.962    4.52   48.0    2.0655    0.0324    5.86    4.00    6.90   35.11    0.5900 9000.00000 9000.00000 9000.000
   366  636.86    3.972    4.42   48.0    2.0655    0.0324    5.88    4.00    7.10   35.11    0.5900 9000.00000 9000.00000 9000.000
   368  635.91    3.984    4.24   47.0    2.0655    0.0325    5.90    4.00    7.20   35.11    0.5900 9000.00000 9000.00000 9000.000
   370  635.07    3.995    4.13   47.0    2.0655    0.0325    5.92    5.00    7.40   35.10    0.5900 9000.00000 9000.00000 9000.000
   372  634.27    4.005    4.09   47.0    2.0655    0.0326    5.94    5.00    7.50   35.10    0.5900 9000.00000 9000.00000 9000.000
   374  633.49    4.015    4.07   47.0    2.0654    0.0326    5.96    6.00    7.60   35.09    0.5900 9000.00000 9000.00000 9000.000
   376  632.68    4.026    4.03   46.0    2.0654    0.0326    5.98    7.00    7.80   35.09    0.5900 9000.00000 9000.00000 9000.000
   378  631.69    4.038    3.91   46.0    2.0653    0.0327    6.01    7.00    7.90   35.08    0.5900 9000.00000 9000.00000 9000.000
   380  630.75    4.051    3.83   46.0    2.0653    0.0327    6.03    8.00    8.10   35.07    0.5900 9000.00000 9000.00000 9000.000
   382  629.88    4.062    3.80   46.0    2.0269    0.0322    6.06    8.00    8.20   35.06    0.5800 9000.00000 9000.00000 9000.000
   384  628.96    4.074    3.69   46.0    2.0269    0.0322    6.08    8.00    8.40   35.06    0.5800 9000.00000 9000.00000 9000.000
   386  628.02    4.086    3.57   46.0    2.0269    0.0323    6.10    9.00    8.50   35.05    0.5800 9000.00000 9000.00000 9000.000
   388  626.94    4.100    3.41   46.0    2.0269    0.0323    6.13    9.00    8.60   35.05    0.5800 9000.00000 9000.00000 9000.000
