36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:23 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200122
Launch Time (UT)                  : 07:13:53
Burst Pressure (hPa)              : 5.88
Integrated O3 to end of data (DU) : 207.09
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2513318
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33321
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
   230  714.84    3.004   12.50   57.0    2.7382    0.0383    2.61 9000.00 9000.00   37.35    0.7300 9000.00000 9000.00000 9000.000
   232  714.08    3.013   12.50   57.0    2.7784    0.0389    2.63 9000.00 9000.00   37.35    0.7400 9000.00000 9000.00000 9000.000
   234  713.33    3.022   12.57   55.0    2.7785    0.0390    2.65 9000.00 9000.00   37.36    0.7400 9000.00000 9000.00000 9000.000
   236  712.59    3.031   12.65   54.0    2.7785    0.0390    2.68 9000.00 9000.00   37.36    0.7400 9000.00000 9000.00000 9000.000
   238  711.85    3.039   12.58   53.0    2.7785    0.0390    2.70 9000.00 9000.00   37.36    0.7400 9000.00000 9000.00000 9000.000
   240  711.15    3.048   12.46   54.0    2.7785    0.0391    2.72 9000.00 9000.00   37.36    0.7400 9000.00000 9000.00000 9000.000
   242  710.45    3.056   12.41   54.0    2.7786    0.0391    2.74 9000.00 9000.00   37.37    0.7400 9000.00000 9000.00000 9000.000
   244  709.77    3.064   12.43   53.0    2.8189    0.0397    2.76 9000.00 9000.00   37.37    0.7500 9000.00000 9000.00000 9000.000
   246  709.00    3.073   12.35   53.0    2.8189    0.0398    2.79 9000.00 9000.00   37.37    0.7500 9000.00000 9000.00000 9000.000
   248  708.13    3.083   12.29   54.0    2.8190    0.0398    2.81 9000.00 9000.00   37.38    0.7500 9000.00000 9000.00000 9000.000
   250  707.39    3.092   12.36   54.0    2.8593    0.0404    2.84 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   252  706.66    3.101   12.33   54.0    2.8593    0.0405    2.86 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   254  705.87    3.110   12.17   54.0    2.8593    0.0405    2.89 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   256  705.08    3.120   11.99   55.0    2.8593    0.0406    2.91 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   258  704.30    3.129   11.91   56.0    2.8593    0.0406    2.94 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   260  703.48    3.139   11.86   57.0    2.8593    0.0406    2.96 9000.00 9000.00   37.38    0.7600 9000.00000 9000.00000 9000.000
   262  702.72    3.148   11.82   57.0    2.8594    0.0407    2.99 9000.00 9000.00   37.39    0.7600 9000.00000 9000.00000 9000.000
   264  701.98    3.157   11.76   56.0    2.8998    0.0413    3.01 9000.00 9000.00   37.40    0.7700 9000.00000 9000.00000 9000.000
   266  701.16    3.166   11.63   57.0    2.8998    0.0414    3.04 9000.00 9000.00   37.40    0.7700 9000.00000 9000.00000 9000.000
   268  700.39    3.176   11.55   58.0    2.8998    0.0414    3.06 9000.00 9000.00   37.40    0.7700 9000.00000 9000.00000 9000.000
   270  699.64    3.185   11.49   59.0    2.8596    0.0409    3.09 9000.00 9000.00   37.41    0.7600 9000.00000 9000.00000 9000.000
   272  698.94    3.193   11.34   59.0    2.8999    0.0415    3.11 9000.00 9000.00   37.41    0.7700 9000.00000 9000.00000 9000.000
   274  698.18    3.202   11.21   60.0    2.8596    0.0410    3.14 9000.00 9000.00   37.41    0.7600 9000.00000 9000.00000 9000.000
   276  697.39    3.211   11.14   60.0    2.8597    0.0410    3.16 9000.00 9000.00   37.43    0.7600 9000.00000 9000.00000 9000.000
   278  696.60    3.221   11.03   61.0    2.8597    0.0411    3.19 9000.00 9000.00   37.43    0.7600 9000.00000 9000.00000 9000.000
   280  695.83    3.230   11.03   62.0    2.8597    0.0411    3.21 9000.00 9000.00   37.43    0.7600 9000.00000 9000.00000 9000.000
   282  695.12    3.239   11.00   62.0    2.8597    0.0411    3.23 9000.00 9000.00   37.43    0.7600 9000.00000 9000.00000 9000.000
   284  694.39    3.247   10.82   62.0    2.8598    0.0412    3.26 9000.00 9000.00   37.44    0.7600 9000.00000 9000.00000 9000.000
   286  693.62    3.257   10.65   63.0    2.8598    0.0412    3.28 9000.00 9000.00   37.44    0.7600 9000.00000 9000.00000 9000.000
   288  692.85    3.266   10.58   65.0    2.8598    0.0413    3.31 9000.00 9000.00   37.44    0.7600 9000.00000 9000.00000 9000.000
   290  692.10    3.275   10.56   66.0    2.8598    0.0413    3.33 9000.00 9000.00   37.44    0.7600 9000.00000 9000.00000 9000.000
   292  691.43    3.283   10.57   66.0    2.8599    0.0414    3.36 9000.00 9000.00   37.45    0.7600 9000.00000 9000.00000 9000.000
   294  690.77    3.291   10.48   67.0    2.8599    0.0414    3.38 9000.00 9000.00   37.45    0.7600 9000.00000 9000.00000 9000.000
   296  690.00    3.300   10.33   67.0    2.8599    0.0414    3.40 9000.00 9000.00   37.45    0.7600 9000.00000 9000.00000 9000.000
   298  689.11    3.311   10.22   67.0    2.8196    0.0409    3.43 9000.00 9000.00   37.45    0.7500 9000.00000 9000.00000 9000.000
   300  688.04    3.324   10.08   67.0    2.8197    0.0410    3.47 9000.00 9000.00   37.46    0.7500 9000.00000 9000.00000 9000.000
   302  686.98    3.337    9.97   68.0    2.8197    0.0410    3.50 9000.00 9000.00   37.46    0.7500 9000.00000 9000.00000 9000.000
   304  686.12    3.347    9.96   69.0    2.8197    0.0411    3.53 9000.00 9000.00   37.46    0.7500 9000.00000 9000.00000 9000.000
   306  685.45    3.356    9.90   69.0    2.7794    0.0405    3.55 9000.00 9000.00   37.46    0.7400 9000.00000 9000.00000 9000.000
   308  684.61    3.366    9.79   68.0    2.7795    0.0406    3.58 9000.00 9000.00   37.46    0.7400 9000.00000 9000.00000 9000.000
   310  683.68    3.377    9.67   69.0    2.7795    0.0407    3.61 9000.00 9000.00   37.47    0.7400 9000.00000 9000.00000 9000.000
   312  682.85    3.387    9.57   70.0    2.7796    0.0407    3.63 9000.00 9000.00   37.47    0.7400 9000.00000 9000.00000 9000.000
   314  682.13    3.396    9.41   72.0    2.7796    0.0407    3.66 9000.00 9000.00   37.47    0.7400 9000.00000 9000.00000 9000.000
   316  681.44    3.404    9.31   74.0    2.7796    0.0408    3.68 9000.00 9000.00   37.47    0.7400 9000.00000 9000.00000 9000.000
   318  680.74    3.413    9.22   74.0    2.7796    0.0408    3.70 9000.00 9000.00   37.47    0.7400 9000.00000 9000.00000 9000.000
   320  679.99    3.422    9.09   75.0    2.7797    0.0409    3.72 9000.00 9000.00   37.48    0.7400 9000.00000 9000.00000 9000.000
   322  679.23    3.431    9.00   76.0    2.7797    0.0409    3.75 9000.00 9000.00   37.48    0.7400 9000.00000 9000.00000 9000.000
   324  678.49    3.440    8.98   76.0    2.7797    0.0410    3.77 9000.00 9000.00   37.48    0.7400 9000.00000 9000.00000 9000.000
   326  677.81    3.449    9.02   74.0    2.7394    0.0404    3.80 9000.00 9000.00   37.49    0.7300 9000.00000 9000.00000 9000.000
   328  677.09    3.457    8.97   73.0    2.7395    0.0405    3.82 9000.00 9000.00   37.50    0.7300 9000.00000 9000.00000 9000.000
   330  676.29    3.467    8.83   72.0    2.7395    0.0405    3.84 9000.00 9000.00   37.50    0.7300 9000.00000 9000.00000 9000.000
   332  675.48    3.477    8.77   71.0    2.7395    0.0406    3.87 9000.00 9000.00   37.50    0.7300 9000.00000 9000.00000 9000.000
   334  674.76    3.486    8.79   69.0    2.7396    0.0406    3.89 9000.00 9000.00   37.51    0.7300 9000.00000 9000.00000 9000.000
   336  674.09    3.494    8.79   67.0    2.7396    0.0406    3.91 9000.00 9000.00   37.51    0.7300 9000.00000 9000.00000 9000.000
   338  673.41    3.503    8.76   65.0    2.7396    0.0407    3.94 9000.00 9000.00   37.51    0.7300 9000.00000 9000.00000 9000.000
   340  672.73    3.511    8.67   64.0    2.7397    0.0407    3.96 9000.00 9000.00   37.52    0.7300 9000.00000 9000.00000 9000.000
   342  672.07    3.519    8.58   63.0    2.7800    0.0414    3.98 9000.00 9000.00   37.52    0.7400 9000.00000 9000.00000 9000.000
   344  671.36    3.528    8.56   63.0    2.7800    0.0414    4.00 9000.00 9000.00   37.52    0.7400 9000.00000 9000.00000 9000.000
   346  670.55    3.538    8.56   63.0    2.8203    0.0421    4.03 9000.00 9000.00   37.53    0.7500 9000.00000 9000.00000 9000.000
   348  669.62    3.549    8.54   62.0    2.8606    0.0427    4.06 9000.00 9000.00   37.53    0.7600 9000.00000 9000.00000 9000.000
   350  668.66    3.561    8.49   61.0    2.8606    0.0428    4.09 9000.00 9000.00   37.53    0.7600 9000.00000 9000.00000 9000.000
   352  667.84    3.571    8.42   60.0    2.8606    0.0428    4.12 9000.00 9000.00   37.53    0.7600 9000.00000 9000.00000 9000.000
   354  667.22    3.579    8.41   59.0    2.8607    0.0429    4.14 9000.00 9000.00   37.53    0.7600 9000.00000 9000.00000 9000.000
   356  666.68    3.586    8.41   58.0    2.9010    0.0435    4.16 9000.00 9000.00   37.54    0.7700 9000.00000 9000.00000 9000.000
   358  666.07    3.593    8.36   57.0    2.9010    0.0436    4.18 9000.00 9000.00   37.54    0.7700 9000.00000 9000.00000 9000.000
   360  665.27    3.603    8.30   56.0    2.9413    0.0442    4.21 9000.00 9000.00   37.54    0.7800 9000.00000 9000.00000 9000.000
