36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:20 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200115
Launch Time (UT)                  : 07:41:05
Burst Pressure (hPa)              : 6.95
Integrated O3 to end of data (DU) : 203.76
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2643160
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33320
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
    52  801.15    2.053   16.97   74.0    2.6053    0.0325    0.57   35.00    5.30   35.34    0.7100   -1.30300   36.75690 9000.000
    54  800.20    2.063   16.85   74.0    2.6053    0.0326    0.59   34.00    5.30   35.34    0.7100   -1.30310   36.75680 9000.000
    56  799.30    2.072   16.74   74.0    2.6053    0.0326    0.62   33.00    5.30   35.34    0.7100   -1.30330   36.75680 9000.000
    58  798.35    2.083   16.63   75.0    2.6053    0.0326    0.64   32.00    5.30   35.34    0.7100   -1.30340   36.75680 9000.000
    60  797.35    2.093   16.54   74.0    2.6053    0.0327    0.67   31.00    5.40   35.34    0.7100   -1.30340   36.75670 9000.000
    62  796.56    2.102   16.53   73.0    2.6054    0.0327    0.69   31.00    5.40   35.34    0.7100   -1.30350   36.75660 9000.000
    64  796.05    2.107   16.53   73.0    2.6054    0.0327    0.70   30.00    5.50   35.34    0.7100   -1.30350   36.75660 9000.000
    66  795.53    2.113   16.43   74.0    2.6054    0.0327    0.71   30.00    5.50   35.34    0.7100   -1.30350   36.75660 9000.000
    68  794.89    2.120   16.31   74.0    2.6054    0.0328    0.73   30.00    5.60   35.34    0.7100   -1.30360   36.75660 9000.000
    70  794.23    2.127   16.22   74.0    2.6054    0.0328    0.75   29.00    5.70   35.34    0.7100   -1.30370   36.75650 9000.000
    72  793.54    2.134   16.16   75.0    2.6449    0.0333    0.76   29.00    5.80   35.35    0.7200   -1.30390   36.75640 9000.000
    74  792.81    2.142   16.13   74.0    2.6449    0.0334    0.78   30.00    5.90   35.35    0.7200   -1.30400   36.75640 9000.000
    76  792.25    2.148   16.15   72.0    2.6449    0.0334    0.80   30.00    6.00   35.35    0.7200   -1.30420   36.75630 9000.000
    78  791.66    2.154   16.13   70.0    2.6450    0.0334    0.81   31.00    6.00   35.36    0.7200   -1.30430   36.75630 9000.000
    80  791.03    2.161   16.17   70.0    2.6450    0.0334    0.83   32.00    6.10   35.36    0.7200   -1.30430   36.75630 9000.000
    82  790.36    2.168   16.21   70.0    2.6451    0.0335    0.85   33.00    6.10   35.37    0.7200   -1.30440   36.75620 9000.000
    84  789.53    2.177   16.08   70.0    2.6451    0.0335    0.87   35.00    6.10   35.37    0.7200   -1.30440   36.75610 9000.000
    86  788.58    2.188   15.94   71.0    2.6451    0.0335    0.90   36.00    6.10   35.37    0.7200   -1.30450   36.75600 9000.000
    88  787.58    2.198   15.82   71.0    2.6451    0.0336    0.92   38.00    6.20   35.37    0.7200   -1.30470   36.75600 9000.000
    90  786.60    2.209   15.70   72.0    2.6451    0.0336    0.95   39.00    6.20   35.37    0.7200   -1.30480   36.75590 9000.000
    92  785.78    2.218   15.63   74.0    2.6451    0.0337    0.97   40.00    6.30   35.37    0.7200   -1.30480   36.75590 9000.000
    94  785.19    2.224   15.62   75.0    2.6451    0.0337    0.99   42.00    6.40   35.37    0.7200   -1.30490   36.75580 9000.000
    96  784.62    2.230   15.57   74.0    2.6451    0.0337    1.00   42.00    6.50   35.37    0.7200   -1.30490   36.75570 9000.000
    98  783.85    2.239   15.41   74.0    2.6451    0.0337    1.02   43.00    6.70   35.37    0.7200   -1.30500   36.75560 9000.000
   100  782.83    2.250   15.28   75.0    2.6846    0.0343    1.05   43.00    6.90   35.38    0.7300   -1.30510   36.75550 9000.000
   102  781.78    2.261   15.28   73.0    2.6846    0.0343    1.08   43.00    7.10   35.38    0.7300   -1.30520   36.75540 9000.000
   104  780.77    2.272   15.30   71.0    2.6452    0.0339    1.10   43.00    7.20   35.39    0.7200   -1.30520   36.75530 9000.000
   106  779.86    2.282   15.28   71.0    2.6452    0.0339    1.13   43.00    7.40   35.39    0.7200   -1.30530   36.75520 9000.000
   108  779.19    2.289   15.26   70.0    2.6453    0.0339    1.15   42.00    7.60   35.40    0.7200   -1.30550   36.75510 9000.000
   110  778.58    2.296   15.19   70.0    2.6453    0.0340    1.16   42.00    7.80   35.40    0.7200   -1.30570   36.75510 9000.000
   112  777.76    2.305   15.04   71.0    2.6453    0.0340    1.18   41.00    7.90   35.40    0.7200   -1.30580   36.75500 9000.000
   114  776.82    2.315   14.94   71.0    2.6453    0.0341    1.21   41.00    8.00   35.40    0.7200   -1.30590   36.75500 9000.000
   116  776.15    2.323   14.94   71.0    2.6453    0.0341    1.23   40.00    8.00   35.40    0.7200   -1.30600   36.75480 9000.000
   118  775.52    2.329   14.92   71.0    2.6848    0.0346    1.25   40.00    8.00   35.40    0.7300   -1.30610   36.75460 9000.000
   120  774.83    2.337   14.84   71.0    2.6453    0.0341    1.26   40.00    8.00   35.40    0.7200   -1.30620   36.75450 9000.000
   122  774.07    2.345   14.81   70.0    2.6848    0.0347    1.28   40.00    8.00   35.40    0.7300   -1.30630   36.75440 9000.000
   124  773.32    2.354   14.76   69.0    2.6849    0.0347    1.31   40.00    8.00   35.41    0.7300   -1.30640   36.75430 9000.000
   126  772.52    2.362   14.64   70.0    2.6849    0.0348    1.33   41.00    8.00   35.41    0.7300   -1.30660   36.75420 9000.000
   128  771.77    2.371   14.58   71.0    2.6849    0.0348    1.35   41.00    8.00   35.41    0.7300   -1.30670   36.75420 9000.000
   130  771.07    2.378   14.53   71.0    2.6849    0.0348    1.37   42.00    8.00   35.41    0.7300   -1.30680   36.75420 9000.000
   132  770.21    2.388   14.42   71.0    2.6849    0.0349    1.39   43.00    8.00   35.41    0.7300   -1.30690   36.75420 9000.000
   134  769.40    2.397   14.47   70.0    2.6454    0.0344    1.41   44.00    8.10   35.41    0.7200   -1.30700   36.75410 9000.000
   136  768.68    2.405   14.54   68.0    2.6455    0.0344    1.43   45.00    8.10   35.42    0.7200   -1.30700   36.75390 9000.000
   138  768.02    2.412   14.54   68.0    2.6455    0.0344    1.45   46.00    8.10   35.42    0.7200   -1.30710   36.75380 9000.000
   140  767.38    2.419   14.46   67.0    2.6455    0.0345    1.47   46.00    8.10   35.42    0.7200   -1.30730   36.75360 9000.000
   142  766.67    2.427   14.33   67.0    2.6455    0.0345    1.49   47.00    8.10   35.42    0.7200   -1.30740   36.75350 9000.000
   144  765.94    2.435   14.29   67.0    2.6455    0.0345    1.51   47.00    8.00   35.42    0.7200   -1.30750   36.75340 9000.000
   146  765.29    2.442   14.29   66.0    2.6455    0.0346    1.52   48.00    7.90   35.42    0.7200   -1.30760   36.75320 9000.000
   148  764.56    2.450   14.20   66.0    2.6455    0.0346    1.54   47.00    7.80   35.42    0.7200   -1.30780   36.75310 9000.000
   150  763.81    2.458   14.14   66.0    2.6456    0.0346    1.57   47.00    7.70   35.42    0.7200   -1.30780   36.75300 9000.000
   152  763.09    2.466   14.17   66.0    2.6456    0.0347    1.58   47.00    7.50   35.43    0.7200   -1.30790   36.75290 9000.000
   154  762.39    2.474   14.13   66.0    2.6456    0.0347    1.60   46.00    7.40   35.43    0.7200   -1.30790   36.75280 9000.000
   156  761.66    2.482   13.95   67.0    2.6456    0.0347    1.62   46.00    7.20   35.43    0.7200   -1.30800   36.75280 9000.000
   158  760.74    2.492   13.83   67.0    2.6456    0.0348    1.65   45.00    7.10   35.44    0.7200   -1.30810   36.75270 9000.000
   160  759.73    2.504   13.74   67.0    2.6457    0.0348    1.68   44.00    7.00   35.45    0.7200   -1.30810   36.75260 9000.000
   162  758.73    2.515   13.64   67.0    2.6457    0.0349    1.70   43.00    6.90   35.45    0.7200   -1.30820   36.75260 9000.000
   164  757.70    2.526   13.57   67.0    2.6457    0.0349    1.73   42.00    6.90   35.45    0.7200   -1.30840   36.75250 9000.000
   166  756.51    2.539   13.50   67.0    2.6458    0.0350    1.77   42.00    6.80   35.46    0.7200   -1.30860   36.75240 9000.000
   168  755.34    2.553   13.47   66.0    2.6458    0.0350    1.80   41.00    6.80   35.46    0.7200   -1.30870   36.75230 9000.000
   170  754.37    2.563   13.51   65.0    2.6458    0.0351    1.82   40.00    6.80   35.46    0.7200   -1.30870   36.75220 9000.000
   172  753.61    2.572   13.59   64.0    2.6064    0.0346    1.85   40.00    6.90   35.46    0.7100   -1.30880   36.75210 9000.000
   174  752.91    2.580   13.55   63.0    2.6064    0.0346    1.86   39.00    6.90   35.47    0.7100   -1.30880   36.75200 9000.000
   176  752.09    2.589   13.36   63.0    2.6064    0.0347    1.89   38.00    7.00   35.47    0.7100   -1.30890   36.75190 9000.000
   178  751.20    2.599   13.25   62.0    2.6460    0.0352    1.91   37.00    7.10   35.48    0.7200   -1.30900   36.75190 9000.000
   180  750.39    2.608   13.18   62.0    2.6460    0.0353    1.93   36.00    7.20   35.48    0.7200   -1.30910   36.75180 9000.000
   182  749.60    2.617   13.11   62.0    2.6460    0.0353    1.96   35.00    7.30   35.48    0.7200   -1.30930   36.75180 9000.000
   184  748.62    2.628   13.01   63.0    2.6460    0.0353    1.98   35.00    7.50   35.48    0.7200   -1.30940   36.75170 9000.000
   186  747.45    2.641   12.91   63.0    2.6460    0.0354    2.02   34.00    7.60   35.48    0.7200   -1.30950   36.75160 9000.000
   188  746.17    2.655   12.83   62.0    2.6460    0.0355    2.05   33.00    7.80   35.48    0.7200   -1.30960   36.75150 9000.000
   190  744.93    2.669   12.77   62.0    2.6461    0.0355    2.09   33.00    7.90   35.49    0.7200   -1.30980   36.75140 9000.000
   192  744.05    2.679   12.74   61.0    2.6066    0.0350    2.11   32.00    8.10   35.49    0.7100   -1.30990   36.75130 9000.000
   194  743.45    2.686   12.73   61.0    2.6067    0.0351    2.13   32.00    8.30   35.49    0.7100   -1.30990   36.75130 9000.000
   196  742.80    2.693   12.73   60.0    2.6067    0.0351    2.15   32.00    8.50   35.49    0.7100   -1.31000   36.75130 9000.000
   198  742.11    2.701   12.70   60.0    2.6067    0.0351    2.17   33.00    8.80   35.49    0.7100   -1.31020   36.75120 9000.000
   200  741.40    2.709   12.67   59.0    2.6066    0.0352    2.18   33.00    9.00   35.48    0.7100   -1.31030   36.75110 9000.000
   202  740.70    2.717   12.65   59.0    2.6066    0.0352    2.20   34.00    9.20   35.48    0.7100   -1.31050   36.75100 9000.000
   204  740.03    2.725   12.64   58.0    2.6460    0.0358    2.22   35.00    9.30   35.47    0.7200   -1.31070   36.75090 9000.000
   206  739.24    2.734   12.61   58.0    2.6065    0.0353    2.25   35.00    9.50   35.47    0.7100   -1.31090   36.75070 9000.000
   208  738.36    2.744   12.59   58.0    2.6065    0.0353    2.27   36.00    9.60   35.48    0.7100   -1.31100   36.75070 9000.000
   210  737.47    2.754   12.59   58.0    2.6460    0.0359    2.29   37.00    9.80   35.48    0.7200   -1.31110   36.75060 9000.000
   212  736.59    2.764   12.55   57.0    2.6459    0.0359    2.32   38.00    9.80   35.47    0.7200   -1.31120   36.75050 9000.000
   214  735.66    2.775   12.53   56.0    2.6459    0.0360    2.35   38.00    9.90   35.47    0.7200   -1.31130   36.75040 9000.000
   216  734.74    2.785   12.62   54.0    2.6459    0.0360    2.37   39.00    9.90   35.47    0.7200   -1.31150   36.75030 9000.000
   218  733.82    2.796   12.84   50.0    2.6458    0.0361    2.40   39.00    9.80   35.46    0.7200   -1.31170   36.75020 9000.000
   220  732.94    2.806   12.99   48.0    2.6458    0.0361    2.42   40.00    9.70   35.45    0.7200   -1.31190   36.75000 9000.000
   222  731.99    2.817   13.05   46.0    2.6458    0.0361    2.45   40.00    9.60   35.45    0.7200   -1.31200   36.74980 9000.000
   224  731.02    2.828   13.04   45.0    2.6458    0.0362    2.48   41.00    9.50   35.45    0.7200   -1.31210   36.74970 9000.000
   226  730.12    2.838   13.00   44.0    2.6458    0.0362    2.50   41.00    9.30   35.45    0.7200   -1.31220   36.74960 9000.000
   228  729.23    2.848   12.92   44.0    2.6458    0.0363    2.53   42.00    9.10   35.45    0.7200   -1.31230   36.74950 9000.000
   230  728.45    2.857   12.87   44.0    2.6853    0.0369    2.55   43.00    8.90   35.45    0.7300   -1.31250   36.74940 9000.000
   232  727.73    2.866   12.84   44.0    2.6853    0.0369    2.57   43.00    8.70   35.45    0.7300   -1.31260   36.74940 9000.000
   234  726.95    2.875   12.80   44.0    2.6854    0.0369    2.60   44.00    8.50   35.46    0.7300   -1.31270   36.74930 9000.000
   236  726.11    2.884   12.71   44.0    2.7249    0.0375    2.62   45.00    8.40   35.47    0.7400   -1.31290   36.74920 9000.000
   238  725.27    2.894   12.71   44.0    2.7250    0.0376    2.65   45.00    8.20   35.48    0.7400   -1.31290   36.74910 9000.000
   240  724.52    2.903   12.77   43.0    2.7250    0.0376    2.67   46.00    8.20   35.48    0.7400   -1.31300   36.74900 9000.000
   242  723.89    2.910   12.76   43.0    2.7251    0.0376    2.69   46.00    8.20   35.49    0.7400   -1.31310   36.74880 9000.000
   244  723.22    2.918   12.63   43.0    2.7251    0.0377    2.71   46.00    8.20   35.49    0.7400   -1.31320   36.74870 9000.000
   246  722.45    2.927   12.49   43.0    2.7252    0.0377    2.73   45.00    8.30   35.50    0.7400   -1.31320   36.74850 9000.000
   248  721.62    2.936   12.39   43.0    2.7252    0.0378    2.75   45.00    8.40   35.50    0.7400   -1.31330   36.74840 9000.000
   250  720.86    2.945   12.32   44.0    2.7252    0.0378    2.78   44.00    8.60   35.50    0.7400   -1.31340   36.74840 9000.000
   252  720.12    2.954   12.25   44.0    2.7252    0.0378    2.80   43.00    8.80   35.50    0.7400   -1.31350   36.74830 9000.000
   254  719.35    2.963   12.15   44.0    2.7252    0.0379    2.82   42.00    9.00   35.50    0.7400   -1.31360   36.74820 9000.000
   256  718.62    2.971   12.04   44.0    2.7253    0.0379    2.84   41.00    9.20   35.51    0.7400   -1.31370   36.74810 9000.000
   258  717.90    2.980   12.00   44.0    2.7253    0.0380    2.87   40.00    9.40   35.52    0.7400   -1.31390   36.74800 9000.000
   260  717.16    2.988   11.95   44.0    2.7253    0.0380    2.89   39.00    9.60   35.52    0.7400   -1.31410   36.74790 9000.000
   262  716.36    2.998   11.87   44.0    2.7254    0.0380    2.91   38.00    9.70   35.53    0.7400   -1.31420   36.74780 9000.000
   264  715.53    3.007   11.82   45.0    2.7254    0.0381    2.94   37.00    9.80   35.53    0.7400   -1.31440   36.74770 9000.000
   266  714.84    3.016   11.86   44.0    2.7255    0.0381    2.96   36.00    9.80   35.54    0.7400   -1.31450   36.74750 9000.000
   268  714.17    3.023   11.84   44.0    2.7255    0.0382    2.98   36.00    9.80   35.54    0.7400   -1.31470   36.74740 9000.000
   270  713.38    3.033   11.64   44.0    2.7255    0.0382    3.00   35.00    9.70   35.54    0.7400   -1.31480   36.74720 9000.000
   272  712.54    3.042   11.48   45.0    2.7255    0.0383    3.03   34.00    9.60   35.54    0.7400   -1.31500   36.74710 9000.000
   274  711.80    3.051   11.40   45.0    2.7256    0.0383    3.05   33.00    9.50   35.55    0.7400   -1.31520   36.74700 9000.000
   276  711.06    3.060   11.39   45.0    2.7651    0.0389    3.07   32.00    9.40   35.55    0.7500   -1.31540   36.74700 9000.000
   278  710.33    3.068   11.41   45.0    2.7651    0.0389    3.09   32.00    9.20   35.55    0.7500   -1.31550   36.74700 9000.000
   280  709.60    3.077   11.34   45.0    2.7651    0.0390    3.12   31.00    9.10   35.55    0.7500   -1.31550   36.74690 9000.000
   282  708.80    3.086   11.22   45.0    2.7651    0.0390    3.14   30.00    8.90   35.55    0.7500   -1.31560   36.74690 9000.000
   284  707.87    3.097   11.07   45.0    2.7652    0.0391    3.17   29.00    8.80   35.56    0.7500   -1.31580   36.74680 9000.000
   286  706.91    3.109   10.95   46.0    2.7652    0.0391    3.20   28.00    8.70   35.56    0.7500   -1.31600   36.74670 9000.000
   288  706.13    3.118   10.97   45.0    2.7652    0.0392    3.22   27.00    8.60   35.56    0.7500   -1.31610   36.74660 9000.000
   290  705.34    3.127   11.01   44.0    2.7652    0.0392    3.25   27.00    8.60   35.56    0.7500   -1.31630   36.74640 9000.000
   292  704.61    3.136   10.96   44.0    2.7652    0.0392    3.27   26.00    8.50   35.56    0.7500   -1.31640   36.74630 9000.000
   294  703.86    3.145   10.90   44.0    2.7652    0.0393    3.29   25.00    8.40   35.56    0.7500   -1.31650   36.74630 9000.000
   296  703.05    3.154   10.79   45.0    2.7653    0.0393    3.32   24.00    8.40   35.56    0.7500   -1.31660   36.74620 9000.000
   298  702.28    3.164   10.65   45.0    2.7653    0.0394    3.34   24.00    8.30   35.57    0.7500   -1.31670   36.74620 9000.000
   300  701.60    3.172   10.57   45.0    2.7258    0.0389    3.36   23.00    8.30   35.57    0.7400   -1.31690   36.74610 9000.000
   302  700.95    3.179   10.53   44.0    2.7258    0.0389    3.38   23.00    8.30   35.57    0.7400   -1.31710   36.74610 9000.000
   304  700.28    3.187   10.41   45.0    2.7258    0.0389    3.40   22.00    8.20   35.57    0.7400   -1.31730   36.74610 9000.000
   306  699.54    3.196   10.35   45.0    2.7259    0.0390    3.43   22.00    8.20   35.57    0.7400   -1.31740   36.74610 9000.000
   308  698.78    3.205   10.36   45.0    2.7654    0.0396    3.45   21.00    8.20   35.57    0.7500   -1.31750   36.74600 9000.000
   310  698.04    3.214   10.35   45.0    2.7654    0.0396    3.47   21.00    8.30   35.57    0.7500   -1.31760   36.74600 9000.000
   312  697.29    3.223   10.27   45.0    2.7655    0.0397    3.50   21.00    8.40   35.59    0.7500   -1.31780   36.74590 9000.000
   314  696.55    3.232   10.14   45.0    2.7260    0.0391    3.52   20.00    8.50   35.59    0.7400   -1.31790   36.74580 9000.000
   316  695.82    3.240   10.04   45.0    2.7260    0.0392    3.54   19.00    8.70   35.59    0.7400   -1.31800   36.74570 9000.000
   318  695.04    3.250    9.96   45.0    2.7260    0.0392    3.57   18.00    8.80   35.59    0.7400   -1.31810   36.74560 9000.000
   320  694.22    3.260    9.81   46.0    2.7260    0.0393    3.59   17.00    9.00   35.59    0.7400   -1.31820   36.74560 9000.000
   322  693.46    3.269    9.68   46.0    2.7260    0.0393    3.62   16.00    9.20   35.59    0.7400   -1.31840   36.74560 9000.000
   324  692.80    3.277    9.61   47.0    2.7261    0.0393    3.64   15.00    9.40   35.60    0.7400   -1.31860   36.74560 9000.000
   326  692.22    3.283    9.58   47.0    2.7260    0.0394    3.65   14.00    9.60   35.59    0.7400   -1.31880   36.74550 9000.000
   328  691.53    3.292    9.51   48.0    2.7260    0.0394    3.68   12.00    9.80   35.59    0.7400   -1.31900   36.74540 9000.000
   330  690.69    3.302    9.45   48.0    2.7261    0.0395    3.70   11.00    9.90   35.60    0.7400   -1.31920   36.74530 9000.000
   332  689.69    3.314    9.46   47.0    2.7261    0.0395    3.73   10.00   10.00   35.60    0.7400   -1.31940   36.74530 9000.000
   334  688.62    3.327    9.47   46.0    2.7261    0.0396    3.77    9.00   10.10   35.60    0.7400   -1.31960   36.74520 9000.000
   336  687.88    3.336    9.47   45.0    2.7261    0.0396    3.79    8.00   10.20   35.60    0.7400   -1.31980   36.74520 9000.000
   338  687.31    3.343    9.47   45.0    2.7261    0.0397    3.81    8.00   10.20   35.60    0.7400   -1.32000   36.74530 9000.000
   340  686.62    3.351    9.43   45.0    2.6866    0.0391    3.83    7.00   10.20   35.60    0.7300   -1.32010   36.74530 9000.000
   342  685.87    3.360    9.33   44.0    2.7260    0.0397    3.85    8.00   10.20   35.59    0.7400   -1.32020   36.74540 9000.000
   344  685.05    3.370    9.22   44.0    2.7260    0.0398    3.88    8.00   10.10   35.59    0.7400   -1.32040   36.74540 9000.000
   346  684.33    3.379    9.19   43.0    2.7260    0.0398    3.90    8.00   10.00   35.59    0.7400   -1.32060   36.74530 9000.000
   348  683.68    3.386    9.22   42.0    2.7260    0.0399    3.92    9.00    9.90   35.59    0.7400   -1.32080   36.74530 9000.000
   350  682.81    3.397    9.16   41.0    2.7260    0.0399    3.95   10.00    9.70   35.59    0.7400   -1.32100   36.74520 9000.000
   352  681.77    3.410    9.05   40.0    2.7260    0.0400    3.98   12.00    9.60   35.59    0.7400   -1.32120   36.74520 9000.000
   354  680.68    3.423    8.96   40.0    2.7260    0.0400    4.02   13.00    9.30   35.59    0.7400   -1.32140   36.74520 9000.000
   356  679.60    3.436    8.88   39.0    2.7260    0.0401    4.05   15.00    9.10   35.59    0.7400   -1.32160   36.74520 9000.000
   358  678.71    3.447    8.89   38.0    2.7260    0.0402    4.08   17.00    8.80   35.59    0.7400   -1.32180   36.74510 9000.000
   360  677.92    3.457    8.91   37.0    2.7260    0.0402    4.10   19.00    8.50   35.60    0.7400   -1.32190   36.74500 9000.000
   362  676.95    3.468    8.76   37.0    2.7260    0.0403    4.13   21.00    8.10   35.60    0.7400   -1.32210   36.74490 9000.000
   364  675.86    3.482    8.59   37.0    2.7655    0.0409    4.17   23.00    7.80   35.59    0.7500   -1.32220   36.74490 9000.000
   366  674.79    3.495    8.47   38.0    2.7655    0.0410    4.20   24.00    7.50   35.59    0.7500   -1.32240   36.74490 9000.000
   368  673.95    3.505    8.39   38.0    2.7655    0.0410    4.23   26.00    7.20   35.59    0.7500   -1.32250   36.74490 9000.000
   370  673.29    3.513    8.39   38.0    2.7654    0.0411    4.25   28.00    6.90   35.58    0.7500   -1.32250   36.74480 9000.000
   372  672.55    3.522    8.33   38.0    2.7653    0.0411    4.28   29.00    6.60   35.57    0.7500   -1.32260   36.74470 9000.000
